txtDescricaoMovimentoReceita,valOrcadoInicial,codMovimentoReceita,valRealizado,modifiedMode,usuarioOperacao,mesAteMovimento_consulta,codReceita,tipo_no_receita,tem_descendente_no_conjunto
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,419648.0,1311020103210000000000000,0.0,5,,12,1311020103210000000000000,bruto_ou_outro,True
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,419648.0,1311020103210000001100000,0.0,5,,12,1311020103210000001100000,bruto_ou_outro,True
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,419648.0,1311020103210000001101000,0.0,5,,12,1311020103210000001101000,bruto_ou_outro,False
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,4013132.6,1321050101090890000000000,100488722.37,5,,12,1321050101090890000000000,bruto_ou_outro,False
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,177618311.4,1339990101000000000000000,113525641.83,5,,12,1339990101000000000000000,bruto_ou_outro,True
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,177618311.4,1339990101000000001100000,113525641.83,5,,12,1339990101000000001100000,bruto_ou_outro,True
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,177618311.4,1339990101000000001101000,113525641.83,5,,12,1339990101000000001101000,bruto_ou_outro,False
CESSÃO DE DIREITO DE NOMEAÇÃO (NAMING RIGHTS) - FMD,3603100.0,1399990101010030000000000,0.0,5,,12,1399990101010030000000000,bruto_ou_outro,True
CESSÃO DE DIREITO DE NOMEAÇÃO (NAMING RIGHTS) - FMD,3603100.0,1399990101010030001100000,0.0,5,,12,1399990101010030001100000,bruto_ou_outro,True
CESSÃO DE DIREITO DE NOMEAÇÃO (NAMING RIGHTS) - FMD,3603100.0,1399990101010030001101000,0.0,5,,12,1399990101010030001101000,bruto_ou_outro,False
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,3530297.07,5,,12,2221010101020020001101000,bruto_ou_outro,False
