txtDescricaoMovimentoReceita,valOrcadoInicial,codMovimentoReceita,valRealizado,modifiedMode,usuarioOperacao,mesAteMovimento_consulta,codReceita,tipo_no_receita,tem_descendente_no_conjunto
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,3137338.0,1321005101090890000000000,1182392.53,5,,12,1321005101090890000000000,bruto_ou_outro,False
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,457491.0,1339011103000000001101000,149763473.33,5,,12,1339011103000000001101000,bruto_ou_outro,False
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,1000000000.0,2220001101020020001101000,28489447.62,5,,12,2220001101020020001101000,bruto_ou_outro,False
DEDUÇÕES ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2220001101020020001109001,18666105.56,5,,12,2220001101020020001109001,deducao,False
