txtDescricaoMovimentoReceita,valOrcadoInicial,codMovimentoReceita,valRealizado,modifiedMode,usuarioOperacao,mesAteMovimento_consulta,codReceita,tipo_no_receita,tem_descendente_no_conjunto
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,145380.0,1311020103210000000000000,1420.64,5,,12,1311020103210000000000000,bruto_ou_outro,True
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,145380.0,1311020103210000001100000,1420.64,5,,12,1311020103210000001100000,bruto_ou_outro,True
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,145380.0,1311020103210000001101000,1420.64,5,,12,1311020103210000001101000,bruto_ou_outro,False
"CONCESSÃO, PERM., AUT. OU CESSÃO DIREITO DE USO BENS IMÓVEIS PUB - FMD",0.0,1311020103270000000000000,87514.5,5,,12,1311020103270000000000000,bruto_ou_outro,True
"CONCESSÃO, PERM., AUT. OU CESSÃO DIREITO DE USO BENS IMÓVEIS PUB - FMD",0.0,1311020103270000001100000,87514.5,5,,12,1311020103270000001100000,bruto_ou_outro,True
"CONCESSÃO, PERM., AUT. OU CESSÃO DIREITO USO DE BENS IMÓVEIS PUB.- FMD",0.0,1311020103270000001101000,87514.5,5,,12,1311020103270000001101000,bruto_ou_outro,False
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,20252546.06,5,,12,1321050101090890000000000,bruto_ou_outro,False
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,149581358.0,1339990101000000000000000,118698789.29,5,,12,1339990101000000000000000,bruto_ou_outro,True
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,149581358.0,1339990101000000001100000,118698789.29,5,,12,1339990101000000001100000,bruto_ou_outro,True
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,149581358.0,1339990101000000001101000,118698789.29,5,,12,1339990101000000001101000,bruto_ou_outro,False
CESSÃO DE DIREITO DE NOMEAÇÃO (NAMING RIGHTS) - FMD,4132843.0,1399990101010030000000000,0.0,5,,12,1399990101010030000000000,bruto_ou_outro,True
CESSÃO DE DIREITO DE NOMEAÇÃO (NAMING RIGHTS) - FMD,4132843.0,1399990101010030001100000,0.0,5,,12,1399990101010030001100000,bruto_ou_outro,True
CESSÃO DE DIREITO DE NOMEAÇÃO (NAMING RIGHTS) - FMD,4132843.0,1399990101010030001101000,0.0,5,,12,1399990101010030001101000,bruto_ou_outro,False
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,13088421.08,5,,12,2221010101020020001101000,bruto_ou_outro,False
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,0.0,7339990101000000000000000,583697.14,5,,12,7339990101000000000000000,bruto_ou_outro,True
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,0.0,7339990101000000001100000,583697.14,5,,12,7339990101000000001100000,bruto_ou_outro,True
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,0.0,7339990101000000001101000,583697.14,5,,12,7339990101000000001101000,bruto_ou_outro,False
