txtDescricaoMovimentoReceita,valOrcadoInicial,codMovimentoReceita,valRealizado,modifiedMode,usuarioOperacao,mesAteMovimento_consulta,codReceita,tipo_no_receita,tem_descendente_no_conjunto
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,12,1311020103210000000000000,bruto_ou_outro,True
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,12,1311020103210000001100000,bruto_ou_outro,True
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,12,1311020103210000001101000,bruto_ou_outro,False
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,22753305.17,5,,12,1321050101090890000000000,bruto_ou_outro,False
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,121622032.74,5,,12,1339990101000000000000000,bruto_ou_outro,True
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,121622032.74,5,,12,1339990101000000001100000,bruto_ou_outro,True
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,121622032.74,5,,12,1339990101000000001101000,bruto_ou_outro,False
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,413000000.0,2221010101020020001101000,417271613.64,5,,12,2221010101020020001101000,bruto_ou_outro,False
