txtDescricaoMovimentoReceita,valOrcadoInicial,codMovimentoReceita,valRealizado,modifiedMode,usuarioOperacao,mesAteMovimento_consulta,codReceita,tipo_no_receita,tem_descendente_no_conjunto
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,468000.0,1310021103210000000000000,0.0,5,,12,1310021103210000000000000,bruto_ou_outro,True
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,468000.0,1310021103210000001100000,0.0,5,,12,1310021103210000001100000,bruto_ou_outro,True
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,468000.0,1310021103210000001101000,0.0,5,,12,1310021103210000001101000,bruto_ou_outro,False
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321005101090890000000000,5814820.72,5,,12,1321005101090890000000000,bruto_ou_outro,False
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,1545102000.0,1339991101000000000000000,706142247.72,5,,12,1339991101000000000000000,bruto_ou_outro,True
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,1545102000.0,1339991101000000001100000,706142247.72,5,,12,1339991101000000001100000,bruto_ou_outro,True
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,1545102000.0,1339991101000000001101000,709110949.36,5,,12,1339991101000000001101000,bruto_ou_outro,False
TOTAL DEDUÇÕES OUTORGA PROVENIENTES DE CONCESSÕES-FMD,0.0,1339991101000000001109000,-2968701.64,5,,12,1339991101000000001109000,total_subtotal,True
DEDUÇÕES DE OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,0.0,1339991101000000001109001,2968701.64,5,,12,1339991101000000001109001,deducao,False
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,369125000.0,2220001101020020001101000,38814871.63,5,,12,2220001101020020001101000,bruto_ou_outro,False
