txtDescricaoMovimentoReceita,valOrcadoInicial,codMovimentoReceita,valRealizado,modifiedMode,usuarioOperacao,mesAteMovimento_consulta,codReceita,tipo_no_receita,tem_descendente_no_conjunto
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,0.0,1311020103210000000000000,0.0,5,,12,1311020103210000000000000,bruto_ou_outro,True
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,0.0,1311020103210000001100000,0.0,5,,12,1311020103210000001100000,bruto_ou_outro,True
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,0.0,1311020103210000001101000,0.0,5,,12,1311020103210000001101000,bruto_ou_outro,False
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,222780.0,1311021103210000000000000,0.0,5,,12,1311021103210000000000000,bruto_ou_outro,True
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,222780.0,1311021103210000001100000,0.0,5,,12,1311021103210000001100000,bruto_ou_outro,True
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,222780.0,1311021103210000001101000,0.0,5,,12,1311021103210000001101000,bruto_ou_outro,False
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,14621608.2,5,,12,1321050101090890000000000,bruto_ou_outro,False
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,101583060.0,1339990101000000000000000,56131558.57,5,,12,1339990101000000000000000,bruto_ou_outro,True
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,101583060.0,1339990101000000001100000,56131558.57,5,,12,1339990101000000001100000,bruto_ou_outro,True
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,101583060.0,1339990101000000001101000,56131558.57,5,,12,1339990101000000001101000,bruto_ou_outro,False
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,47183000.0,2221010101020020001101000,67971204.63,5,,12,2221010101020020001101000,bruto_ou_outro,False
"RESTITUIÇÕES - FMD - ARTº 6, LEI 16.651/2017",0.0,2999990102160000000000000,178207.71,5,,12,2999990102160000000000000,bruto_ou_outro,True
"RESTITUIÇÕES - FMD - ARTº 6, LEI 16.651/2017",0.0,2999990102160000001100000,178207.71,5,,12,2999990102160000001100000,bruto_ou_outro,True
"RESTITUIÇÕES - FMD - ARTº 6, LEI 16.651/2017",0.0,2999990102160000001101000,178207.71,5,,12,2999990102160000001101000,bruto_ou_outro,False
