codFonteRecurso,codReferencia,codDestinacaoRecurso,codVinculacaoRecurso,codPrograma,codProjetoAtividade,codFuncao,codSubFuncao,codCategoria,codGrupo,codModalidade,codElemento,codItemDespesa,codSubElemento,codEmpenho,txtRazaoSocial,numCpfCnpj
08.1.759.1224,,,,3026,1535,10,302,4,4,90,51,0,8,40139,CONSTRUTORA SANDIN LTDA,51182145000191
08.1.759.1224,,,,3026,1535,10,302,4,4,90,51,0,8,40154,CONSORCIO UG,51803790000184
08.1.759.1224,,,,3026,1535,10,302,4,4,90,51,0,8,40173,APENG SERVICOS E CONSTRUCOES LTDA,30037029000109
08.1.759.1224,,,,3026,1535,10,302,4,4,90,51,0,8,40200,SHOP SIGNS OBRAS E SERVICOS LTDA,02120261000170
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,0,8,40204,VPP CONSTRUTORA LTDA,04860624000130
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,0,8,40214,SCOPUS CONSTRUTORA & INCORPORADORA LTDA,49723802000119
08.1.759.1224,,,,3026,1536,10,302,4,4,90,51,0,8,40474,PILAO ENGENHARIA E CONSTRUCOES LTDA,01294872000172
08.1.759.1224,,,,3026,1536,10,302,4,4,90,51,0,8,40487,CONSORCIO SAUDE - PMSP,51804427000183
08.1.759.1224,,,,3026,1536,10,302,4,4,90,51,0,8,40513,CONSORCIO HOSPITAL TATUAPE,55483217000191
08.1.759.1224,,,,3026,1536,10,302,4,4,90,51,0,8,40565,CONSORCIO RENOVA SAUDE,55757193000111
08.1.759.1224,,,,3026,1536,10,302,4,4,90,51,0,8,40569,CONSORCIO PRO SAUDE SAO PAULO  CAMPO LIMPO,55272706000102
08.1.759.1224,,,,3026,1536,10,302,4,4,90,51,0,8,40574,CONSORCIO LEMAM  CONSITEC  JLA,53619416000159
08.1.759.1224,,,,3026,1536,10,302,4,4,90,51,0,8,40584,HERSA ENGENHARIA E SERVICOS LTDA,01376473000150
08.1.759.1224,,,,3026,1536,10,302,4,4,90,51,0,8,40585,SCOPUS CONSTRUTORA & INCORPORADORA LTDA,49723802000119
08.1.759.1224,,,,3026,1536,10,302,4,4,90,51,0,8,40590,BB ENGENHARIA E CONSTRUCOES S A,03643992000163
08.1.759.1224,,,,3003,1526,10,301,4,4,90,51,0,8,40601,CONSTRUTORA PROGREDIOR LTDA,56838949000110
08.1.759.1224,,,,3003,1526,10,301,4,4,90,51,0,8,40609,CONSTRUTORA PROGREDIOR LTDA,56838949000110
08.1.759.1224,,,,3003,1526,10,301,4,4,90,51,0,8,40622,CONSTRUTORA PROGREDIOR LTDA,56838949000110
08.1.759.1224,,,,3003,1526,10,301,4,4,90,51,0,8,40641,CONSTRUTORA PROGREDIOR LTDA,56838949000110
08.1.759.1224,,,,3003,1526,10,301,4,4,90,51,0,8,40648,ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA,66748955000130
