codFonteRecurso,codReferencia,codDestinacaoRecurso,codVinculacaoRecurso,codPrograma,codProjetoAtividade,codFuncao,codSubFuncao,codCategoria,codGrupo,codModalidade,codElemento,codItemDespesa,codSubElemento,codEmpenho,txtRazaoSocial,numCpfCnpj
08,,,,3006,1169,15,452,4,4,90,39,1,1,57281,J L ENGENHARIA E CONSTRUCAO LTDA,57085201000156
08,,,,3006,1169,15,452,4,4,90,39,1,1,57294,CONSTRUTORA LETTIERI CORDARO LTDA,07879965000145
08,,,,3006,1169,15,452,4,4,90,39,1,1,57300,CONSTRUTORA LETTIERI CORDARO LTDA,07879965000145
08,,,,3006,1169,15,452,4,4,90,39,1,1,57485,DB CONSTRUCOES LTDA,03101876000112
08,,,,3006,1169,15,452,4,4,90,39,1,1,57546,DB CONSTRUCOES LTDA,03101876000112
08,,,,3006,1169,15,452,4,4,90,39,1,1,57548,BB ENGENHARIA E CONSTRUCOES S A,03643992000163
08,,,,3006,1169,15,452,4,4,90,39,1,1,57552,DB CONSTRUCOES LTDA,03101876000112
08,,,,3006,1169,15,452,4,4,90,39,1,1,57554,DB CONSTRUCOES LTDA,03101876000112
08,,,,3006,1169,15,452,4,4,90,39,1,1,59529,DB CONSTRUCOES LTDA,03101876000112
08,,,,3006,1169,15,452,4,4,90,39,1,1,61416,BB ENGENHARIA E CONSTRUCOES S A,03643992000163
08,,,,3006,1169,15,452,4,4,90,39,1,1,61425,JRA  EMPREENDIMENTOS E ENGENHARIA LTDA,01454603000126
08,,,,3006,1169,15,452,4,4,90,39,1,1,63644,CONSTRUTORA PROGREDIOR LTDA,56838949000110
08,,,,3006,1169,15,452,4,4,90,39,1,1,64227,ENGENHARIA E COMERCIO RIGEL LTDA,53640280000169
08,,,,3009,1097,26,785,4,4,90,39,1,9,72683,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,47902648000117
08,,,,3009,5417,15,451,4,4,90,39,1,9,72684,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,47902648000117
08,,,,3022,1137,15,452,4,4,90,39,1,9,72686,COMPANHIA DE ENGENHARIA DE TRAFEGO - CET,47902648000117
08,,,,3009,1097,26,785,4,4,90,51,1,8,72982,HABITA LOTE 12 SA,33113646000134
08,,,,3009,1097,26,785,4,4,90,51,1,8,72984,HABITA LOTE 12 SA,33113646000134
08,,,,3009,5417,15,451,4,4,90,51,1,8,73090,SAO PAULO TRANSPORTE SA,60498417000158
08,,,,3022,1137,15,452,4,4,90,39,1,1,74163,CONSTRUÇÕES ENGENHARIA E PAVIMENTAÇÃO ENPAVI LTDA,60862331000162
08,,,,3022,1137,15,452,4,4,90,39,1,1,74171,CONSTRUÇÕES ENGENHARIA E PAVIMENTAÇÃO ENPAVI LTDA,60862331000162
08,,,,3022,1137,15,452,4,4,90,39,1,1,74177,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08,,,,3022,1137,15,452,4,4,90,39,1,1,74181,ARVEK TECNICA E CONSTRUCOES LTDA,47218979000132
08,,,,3022,1137,15,452,4,4,90,39,1,1,74187,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3022,1137,15,452,4,4,90,39,1,1,74197,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08,,,,3022,1137,15,452,4,4,90,39,1,1,74201,SOUZA COMPEC ENGENHARIA E CONSTRUÇÕES LTDA,09052229000144
08,,,,3022,1137,15,452,4,4,90,39,1,1,74205,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3022,1137,15,452,4,4,90,39,1,1,74215,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3022,1137,15,452,4,4,90,39,1,1,74220,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3022,1137,15,452,4,4,90,39,1,1,74233,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08,,,,3022,1137,15,452,4,4,90,39,1,1,74241,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08,,,,3022,1137,15,452,4,4,90,39,1,1,74260,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08,,,,3022,1137,15,452,4,4,90,39,1,1,74263,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08,,,,3022,1137,15,452,4,4,90,39,1,1,74269,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08,,,,3022,1137,15,452,4,4,90,39,1,1,74277,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08,,,,3022,1137,15,452,4,4,90,39,1,1,74281,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08,,,,3022,1137,15,452,4,4,90,39,1,1,74286,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08,,,,3022,1137,15,452,4,4,90,39,1,1,76161,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08,,,,3022,1137,15,452,4,4,90,39,1,1,76187,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08,,,,3022,1137,15,452,4,4,90,39,1,1,76618,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08,,,,3022,1137,15,452,4,4,90,39,1,1,76620,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08,,,,3009,5287,15,451,4,4,90,39,0,0,77421,SAO PAULO OBRAS  SP OBRAS,11958828000173
08,,,,3009,5287,15,451,4,4,90,39,0,0,78403,EGIS  ENGENHARIA E CONSULTORIA LTDA,44239135000503
08,,,,3009,5287,15,451,4,4,90,39,0,0,78406,ENGETI  CONSULTORIA E ENGENHARIA SS LTDA,09008769000120
08,,,,3009,5287,15,451,4,4,90,39,0,0,78415,ALPHAGEOS TECNOLOGIA APLICADA SA,55194369000174
08,,,,3009,5287,15,451,4,4,90,39,0,0,78418,ECR ENGENHARIA LTDA,42161372000140
08,,,,3009,5287,15,451,4,4,90,39,0,0,78420,BUREAU VERITAS DO BRASIL SOCIEDADE CLASSIFICADORA E CERTIFICADORA LTDA,33177148000155
08,,,,3022,1137,15,452,4,4,90,39,1,1,78495,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3022,1137,15,452,4,4,90,39,1,1,78497,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3022,1137,15,452,4,4,90,39,1,1,78498,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08,,,,3022,1137,15,452,4,4,90,39,1,1,78499,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3022,1137,15,452,4,4,90,39,1,1,78500,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08,,,,3009,5287,15,451,4,4,90,39,0,0,78598,BUREAU VERITAS DO BRASIL SOCIEDADE CLASSIFICADORA E CERTIFICADORA LTDA,33177148000155
08,,,,3009,5287,15,451,4,4,90,39,0,0,78606,EGT ENGENHARIA LTDA,00376282000126
08,,,,3022,1137,15,452,4,4,90,39,1,1,78688,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08,,,,3022,1137,15,452,4,4,90,39,1,1,78691,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08,,,,3009,5287,15,451,4,4,90,39,0,0,78706,SAO PAULO OBRAS  SP OBRAS,11958828000173
08,,,,3022,1137,15,452,4,4,90,39,1,1,78857,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08,,,,3022,1137,15,452,4,4,90,39,1,1,79056,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08,,,,3022,1137,15,452,4,4,90,39,1,1,79632,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08,,,,3022,1137,15,452,4,4,90,39,1,1,79634,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08,,,,3022,1137,15,452,4,4,90,39,1,1,79638,SOUZA COMPEC ENGENHARIA E CONSTRUÇÕES LTDA,09052229000144
08,,,,3022,1137,15,452,4,4,90,39,1,1,79644,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3022,1137,15,452,4,4,90,39,1,1,79647,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08,,,,3022,1137,15,452,4,4,90,39,1,1,80075,ARVEK TECNICA E CONSTRUCOES LTDA,47218979000132
08,,,,3022,1137,15,452,4,4,90,39,1,1,80764,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08,,,,3009,5417,15,451,4,4,90,51,1,8,86945,SAO PAULO TRANSPORTE SA,60498417000158
08,,,,3022,1137,15,452,4,4,90,39,1,1,87897,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08,,,,3022,1137,15,452,4,4,90,39,1,1,90610,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3022,1137,15,452,4,4,90,39,1,1,90612,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3022,1137,15,452,4,4,90,39,1,1,90618,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3022,1137,15,452,4,4,90,39,1,1,90624,SOUZA COMPEC ENGENHARIA E CONSTRUÇÕES LTDA,09052229000144
08,,,,3022,1137,15,452,4,4,90,39,1,1,90629,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08,,,,3022,1137,15,452,4,4,90,39,1,1,94080,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3022,1137,15,452,4,4,90,39,1,1,94085,ARVEK TECNICA E CONSTRUCOES LTDA,47218979000132
08,,,,3022,1137,15,452,4,4,90,39,1,1,94090,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08,,,,3022,1137,15,452,4,4,90,39,1,1,94095,CONSTRUÇÕES ENGENHARIA E PAVIMENTAÇÃO ENPAVI LTDA,60862331000162
08,,,,3009,5417,15,451,4,4,90,39,1,1,97444,SHOP SIGNS OBRAS E SERVICOS LTDA,02120261000170
08,,,,3009,5417,15,451,4,4,90,39,1,1,97447,BELLACON CONSTRUTORA E INCORPORADORA LTDA,07667763000130
08,,,,3009,5417,15,451,4,4,90,39,1,1,97449,SHOP SIGNS OBRAS E SERVICOS LTDA,02120261000170
08,,,,3009,5417,15,451,4,4,90,51,1,8,100382,SAO PAULO TRANSPORTE SA,60498417000158
08,,,,3009,5417,15,451,4,4,90,39,1,1,102212,BB ENGENHARIA E CONSTRUCOES S A,03643992000163
08,,,,3009,5417,15,451,4,4,90,39,1,1,102215,BB ENGENHARIA E CONSTRUCOES S A,03643992000163
08,,,,3009,5417,15,451,4,4,90,39,1,1,102985,BELLACON CONSTRUTORA E INCORPORADORA LTDA,07667763000130
