codFonteRecurso,codReferencia,codDestinacaoRecurso,codVinculacaoRecurso,codPrograma,codProjetoAtividade,codFuncao,codSubFuncao,codCategoria,codGrupo,codModalidade,codElemento,codItemDespesa,codSubElemento,codEmpenho,txtRazaoSocial,numCpfCnpj
08.1.759.1224,,,,3003,1525,10,301,4,4,50,52,0,5,28324,SPDM  ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,61699567000192
08.1.759.1224,,,,3026,1536,10,302,4,4,50,51,0,5,30422,SPDM  ASSOCIACAO PAULISTA PARA O DESENVOLVIMENTO DA MEDICINA,61699567000192
08.1.759.1224,,,,3026,1535,10,302,4,4,90,51,0,8,31691,CONSORCIO UG,51803790000184
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,1,8,31696,FP PROJETOS EMPREENDIMENTOS LTDA,15009784000196
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,1,8,31704,DPT ENGENHARIA E ARQUITETURA LTDA,34730331000107
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,1,8,31711,DEKTON ENGENHARIA E CONSTRUCAO LTDA,06297348000179
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,1,8,31717,TERRA NOVA ENGENHARIA E CONSTRUCOES LTDA,07461206000168
08.1.759.1224,,,,3026,1535,10,302,4,4,90,51,0,8,31718,CONSTRUTORA SANDIN LTDA,51182145000191
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,1,8,31727,H2OBRAS CONSTRUCOES LTDA,24262722000182
08.1.759.1224,,,,3026,1536,10,302,4,4,90,51,0,8,31730,PILAO ENGENHARIA E CONSTRUCOES LTDA,01294872000172
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,0,8,31734,DB CONSTRUCOES LTDA,03101876000112
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,0,8,31738,R J C SINALIZACAO URBANA LTDA,12420273000174
08.1.759.1224,,,,3026,1536,10,302,4,4,90,51,0,8,31743,CONSORCIO SAUDE - PMSP,51804427000183
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,1,8,31744,VILLANOVA ENGENHARIA E DESENVOLVIMENTO AMBIENTAL LTDA,04373329000159
08.1.759.1224,,,,3026,1536,10,302,4,4,90,51,0,8,31755,D M DIAS CHAVES,22687927000184
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,0,8,31763,CONSORCIO HR,51773856000130
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,0,8,31806,SPALLA ENGENHARIA LTDA,05633207000117
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,0,8,31814,NOVA JRA EMPREENDIMENTOS E ENGENHARIA LTDA,44721630000120
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,0,8,31822,SCOPUS CONSTRUTORA & INCORPORADORA LTDA,49723802000119
08.1.759.1224,,,,3003,1525,10,301,4,4,90,51,0,8,31844,FP PROJETOS EMPREENDIMENTOS LTDA,15009784000196
