codFonteRecurso,codReferencia,codDestinacaoRecurso,codVinculacaoRecurso,codPrograma,codProjetoAtividade,codFuncao,codSubFuncao,codCategoria,codGrupo,codModalidade,codElemento,codItemDespesa,codSubElemento,codEmpenho,txtRazaoSocial,numCpfCnpj
08,,,,3009,3012,26,451,4,4,90,39,1,1,83174,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08,,,,3009,3012,26,451,4,4,90,39,1,1,83190,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08,,,,3009,3012,26,451,4,4,90,39,1,1,83192,SOUZA COMPEC ENGENHARIA E CONSTRUÇÕES LTDA,09052229000144
08,,,,3009,3012,26,451,4,4,90,39,1,1,83198,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3009,3012,26,451,4,4,90,39,1,1,83215,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08,,,,3009,3012,26,451,4,4,90,39,1,1,83231,ARVEK TECNICA E CONSTRUCOES LTDA,47218979000132
08,,,,3009,3012,26,451,4,4,90,39,1,1,83233,FREMIX PAVIMENTACAO E CONSTRUCOES LTDA ,01065014000156
08,,,,3009,3012,26,451,4,4,90,39,1,1,83237,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3009,3012,26,451,4,4,90,39,1,1,83291,CONSTRUÇÕES ENGENHARIA E PAVIMENTAÇÃO ENPAVI LTDA,60862331000162
08,,,,3009,3012,26,451,4,4,90,39,1,1,84006,SOEBE CONSTRUÇÃO E PAVIMENTAÇÃO SA,43677822000114
08,,,,3009,3012,26,451,4,4,90,39,1,1,85581,CONSTRUÇÕES ENGENHARIA E PAVIMENTAÇÃO ENPAVI LTDA,60862331000162
08,,,,3009,3012,26,451,4,4,90,39,1,1,85636,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,62162847000120
08,,,,3009,3012,26,451,4,4,90,39,1,1,85643,FBS CONSTRUCAO CIVIL E PAVIMENTACAO S.A.,66806555000133
08,,,,3009,3012,26,451,4,4,90,39,1,1,89336,CONSTRUÇÕES ENGENHARIA E PAVIMENTAÇÃO ENPAVI LTDA,60862331000162
