codEmpresa,nomEmpresa,numReserva,codEmpenho,anoEmpenho,mesEmpenho,datEmpenho,codProcesso,numCpfCnpj,txtRazaoSocial,numContrato,anoContrato,codOrgao,txDescricaoOrgao,codUnidade,txDescricaoUnidade,codFuncao,txDescricaoFuncao,codSubFuncao,txDescricaoSubFuncao,codPrograma,txDescricaoPrograma,codProjetoAtividade,txDescricaoProjetoAtividade,codCategoria,txDescricaoCategoriaEconomica,codGrupo,txDescricaoGrupoDespesa,codModalidade,txDescricaoModalidade,codElemento,txDescricaoElemento,codFonteRecurso,txDescricaoFonteRecurso,codItemDespesa,txDescricaoItemDespesa,codSubElemento,txDescricaoSubElementoDespesa,valTotalEmpenhado,valAnuladoEmpenho,valEmpenhadoLiquido,valLiquidado,valPagoExercicio,valPagoRestos,anexos,codReferencia,codDestinacaoRecurso,codVinculacaoRecurso,codExeFonte,numeroOriginalContrato,_mesConsulta
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,36933,57281,2020,7,08/07/2020 00:00:00,6012202000098257,57085201000156,J L ENGENHARIA E CONSTRUCAO LTDA,11086,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3006,Direitos da pessoa com deficiência,1169,Reforma e Acessibilidade em Passeios Públicos - Programa de Metas 2.c,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,4338411.88,0.0,2389361.48,0.0,0.0,21459.83,"[{'siglaUnidadeMedida': 'UN', 'descricaoAnexo': 'Ata de Registros de Preços  nº 47/SMSUB/COGEL/2019 – LOTE X, objetivando a prestação de serviços para a readequação e manutenção dos passeios públicos – “calçadas”', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 4338411.88}]",,,,,,7
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,36933,57294,2020,7,08/07/2020 00:00:00,6012202000054934,07879965000145,CONSTRUTORA LETTIERI CORDARO LTDA,11088,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3006,Direitos da pessoa com deficiência,1169,Reforma e Acessibilidade em Passeios Públicos - Programa de Metas 2.c,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,5164430.11,0.0,1643986.69,0.0,0.0,154141.98,"[{'siglaUnidadeMedida': 'UN', 'descricaoAnexo': 'Prestação de serviços para a readequação e manutenção dos passeios públicos - calçadas, ', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 5164430.11}]",,,,,,7
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,36933,57300,2020,7,08/07/2020 00:00:00,6012202000054926,07879965000145,CONSTRUTORA LETTIERI CORDARO LTDA,11091,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3006,Direitos da pessoa com deficiência,1169,Reforma e Acessibilidade em Passeios Públicos - Programa de Metas 2.c,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,843197.9,0.0,451959.2,0.0,0.0,2312.09,"[{'siglaUnidadeMedida': 'UN', 'descricaoAnexo': 'Ata de Registros de Preços  nº 53/SMSUB/COGEL/2019 – LOTE XVI, objetivando a prestação de serviços para a readequação e manutenção dos passeios públicos – “calçadas”', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 843197.9}]",,,,,,7
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,36933,57485,2020,7,09/07/2020 00:00:00,6012202000000494,03101876000112,DB CONSTRUCOES LTDA,11195,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3006,Direitos da pessoa com deficiência,1169,Reforma e Acessibilidade em Passeios Públicos - Programa de Metas 2.c,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,5845546.29,0.0,2413961.11,0.0,0.0,261423.57,"[{'siglaUnidadeMedida': 'UN ', 'descricaoAnexo': ' Ata de Registros de Preços  nº 41/SMSUB/COGEL/2019 – LOTE IV, objetivando a prestação de serviços para a readequação e manutenção dos passeios públicos – “calçadas”.', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 5845546.29}]",,,,,,7
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,36933,57546,2020,7,09/07/2020 00:00:00,6012202000182096,03101876000112,DB CONSTRUCOES LTDA,11199,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3006,Direitos da pessoa com deficiência,1169,Reforma e Acessibilidade em Passeios Públicos - Programa de Metas 2.c,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,1910772.1,0.0,1363731.42,0.0,0.0,165347.78,"[{'siglaUnidadeMedida': 'UN', 'descricaoAnexo': 'Ata de Registros de Preços  nº 55/SMSUB/COGEL/2019 – LOTE XIX, objetivando a prestação de serviços para a readequação e manutenção dos passeios públicos – “calçadas”', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 1910772.1}]",,,,,,7
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,36933,57548,2020,7,09/07/2020 00:00:00,6012202000153061,03643992000163,BB ENGENHARIA E CONSTRUCOES S A,11200,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3006,Direitos da pessoa com deficiência,1169,Reforma e Acessibilidade em Passeios Públicos - Programa de Metas 2.c,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,1284773.04,0.0,0.0,0.0,0.0,0.0,"[{'siglaUnidadeMedida': 'UN', 'descricaoAnexo': 'Ata de Registros de Preços  nº 48/SMSUB/COGEL/2019 – LOTE XI, objetivando a prestação de serviços para a readequação e manutenção dos passeios públicos – “calçadas”', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 1284773.04}]",,,,,,7
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,36933,57552,2020,7,09/07/2020 00:00:00,6012202000153029,03101876000112,DB CONSTRUCOES LTDA,11202,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3006,Direitos da pessoa com deficiência,1169,Reforma e Acessibilidade em Passeios Públicos - Programa de Metas 2.c,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,4478774.08,0.0,0.0,0.0,0.0,0.0,"[{'siglaUnidadeMedida': 'UN', 'descricaoAnexo': 'Ata de Registros de Preços  nº 52/SMSUB/COGEL/2019 – LOTE XV, objetivando a prestação de serviços para a readequação e manutenção dos passeios públicos – “calçadas”', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 4478774.08}]",,,,,,7
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,36933,57554,2020,7,09/07/2020 00:00:00,6012202000152987,03101876000112,DB CONSTRUCOES LTDA,11204,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3006,Direitos da pessoa com deficiência,1169,Reforma e Acessibilidade em Passeios Públicos - Programa de Metas 2.c,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,2115362.31,0.0,1646023.47,0.0,0.0,235173.27,"[{'siglaUnidadeMedida': 'UN', 'descricaoAnexo': 'Ata de Registros de Preços  nº 55/SMSUB/COGEL/2019 – LOTE XIX, objetivando a prestação de serviços para a readequação e manutenção dos passeios públicos – “calçadas”', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 2115362.31}]",,,,,,7
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,36933,59529,2020,7,13/07/2020 00:00:00,6012202000182070,03101876000112,DB CONSTRUCOES LTDA,11503,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3006,Direitos da pessoa com deficiência,1169,Reforma e Acessibilidade em Passeios Públicos - Programa de Metas 2.c,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,2054992.45,0.0,911331.77,0.0,0.0,41455.29,"[{'siglaUnidadeMedida': 'UN', 'descricaoAnexo': ' Ata de Registros de Preços  nº 41/SMSUB/COGEL/2019 – LOTE IV, objetivando a prestação de serviços para a readequação e manutenção dos passeios públicos – “calçadas”,', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 2054992.45}]",,,,,,7
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,36933,61416,2020,7,22/07/2020 00:00:00,6012202000193551,03643992000163,BB ENGENHARIA E CONSTRUCOES S A,12832,2020,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3006,Direitos da pessoa com deficiência,1169,Reforma e Acessibilidade em Passeios Públicos - Programa de Metas 2.c,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08,Tesouro Municipal - Recursos Vinculados,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,621488.97,0.0,542509.85,0.0,0.0,247000.73,"[{'siglaUnidadeMedida': 'UN', 'descricaoAnexo': ' Ata de Registros de Preços  nº 48/SMSUB/COGEL/2019 – LOTE XI, objetivando a prestação de serviços para a readequação e manutenção dos passeios públicos.', 'qtdeAnexo': 1, 'valorUnitarioAnexo': 621488.97}]",,,,,,7
