codFonteRecurso,codReferencia,codDestinacaoRecurso,codVinculacaoRecurso,codPrograma,codProjetoAtividade,codFuncao,codSubFuncao,codCategoria,codGrupo,codModalidade,codElemento,codItemDespesa,codSubElemento,codEmpenho,txtRazaoSocial,numCpfCnpj
08,,,,3003,5204,10,301,4,4,90,51,0,8,26191,M A S CONSTRUCOES E EMPREENDIMENTOS LIMITADA,67192609000180
08,,,,3003,5204,10,301,4,4,90,51,0,8,26224,DB CONSTRUCOES LTDA,03101876000112
08,,,,3003,5204,10,301,4,4,90,51,0,8,26228,LEMAM CONSTRUCOES E COMERCIO SA,04002395000112
08,,,,3003,5204,10,302,4,4,90,51,0,8,26230,TETRABASE  ENGENHARIA E CONSTRUCOES LTDA,07534937000196
08,,,,3003,5204,10,302,4,4,90,51,0,8,26236,CONSTRUTORA PROGREDIOR LTDA,56838949000110
08,,,,3003,5204,10,301,4,4,90,51,0,8,27148,SP9 INCORPORACAO E CONSTRUCAO  SPE SA,32994332000125
08,,,,3003,5204,10,301,4,4,90,51,0,8,27164,UNO HABITACAO SA,33298127000198
08,,,,3003,5204,10,301,4,4,90,51,0,8,27189,HABITA LOTE 12 SA,33113646000134
08,,,,3003,5204,10,302,4,4,90,51,0,8,27196,UNO PPP HABITACAO SA,40280308000152
08,,,,3003,5204,10,301,4,4,90,51,0,8,27272,UNO PPP HABITACAO SA,40280308000152
08,,,,3003,5204,10,302,4,4,90,51,0,8,27294,HABITA LOTE 12 SA,33113646000134
08,,,,3003,5204,10,302,4,4,90,51,0,8,27310,HABITA LOTE 12 SA,33113646000134
08,,,,3003,5204,10,302,4,4,90,51,0,8,27343,HABITA LOTE 12 SA,33113646000134
08,,,,3003,5204,10,302,4,4,90,51,0,8,27354,SP9 INCORPORACAO E CONSTRUCAO  SPE SA,32994332000125
08,,,,3003,5204,10,302,4,4,90,51,0,8,27375,HABITA LOTE 12 SA,33113646000134
08,,,,3003,5204,10,302,4,4,90,51,0,8,27381,UNO HABITACAO SA,33298127000198
08,,,,3003,5204,10,301,4,4,90,51,0,8,27592,CONSORCIO ROY  LETTIERI,45404270000104
08,,,,3023,3399,08,244,3,3,90,39,1,1,30133,MATHESIS ENGENHARIA  CONSTRUCAO LIMITADA,03302648000100
