codFonteRecurso,codReferencia,codDestinacaoRecurso,codVinculacaoRecurso,codPrograma,codProjetoAtividade,codFuncao,codSubFuncao,codCategoria,codGrupo,codModalidade,codElemento,codItemDespesa,codSubElemento,codEmpenho,txtRazaoSocial,numCpfCnpj
08.2.759.1224,,,,4016,1536,10,302,4,4,90,39,9,9,36139,JM ENGENHARIA DIAGNOSTICA LTDA,38218230000102
08.2.759.1224,,,,4016,1536,10,302,4,4,90,39,9,9,36557,CONSORCIO MEDINFRA,63457348000122
08.2.759.1224,,,,4016,1536,10,302,4,4,90,39,9,9,36581,CONSORCIO MBM,50851721000183
08.2.759.1224,,,,4016,1536,10,302,4,4,90,39,9,9,36584,CONSORCIO MBM,50851721000183
08.1.759.1224,,,,4015,1525,10,301,4,4,90,51,0,8,38085,CONSORCIO HR,51773856000130
08.1.759.1224,,,,4015,1525,10,301,4,4,90,51,0,8,38087,CONSORCIO HR,51773856000130
10.2.755.1224,,,,4015,1525,10,301,4,4,90,51,0,8,38210,SCOPUS CONSTRUTORA & INCORPORADORA LTDA,49723802000119
10.2.755.1224,,,,4015,1525,10,301,4,4,90,51,0,8,38215,SCOPUS CONSTRUTORA & INCORPORADORA LTDA,49723802000119
08.2.759.1224,,,,4016,1536,10,302,4,4,90,51,0,8,38251,CONSORCIO RENOVA SAUDE,55757193000111
08.2.759.1224,,,,4016,1536,10,302,4,4,90,51,0,8,38257,CONSORCIO RENOVA SAUDE,55757193000111
08.1.759.1224,,,,4016,1535,10,302,4,4,90,51,0,8,38348,JB CONSTRUCOES E EMPREENDIMENTOS LTDA,00688529000140
08.1.759.1224,,,,4016,1535,10,302,4,4,90,51,0,8,38358,JB CONSTRUCOES E EMPREENDIMENTOS LTDA,00688529000140
08.1.759.1224,,,,4015,1526,10,301,4,4,90,51,0,8,38393,CONSTRUTORA PROGREDIOR LTDA,56838949000110
08.1.759.1224,,,,4015,1526,10,301,4,4,90,51,0,8,38401,TETRABASE  ENGENHARIA E CONSTRUCOES LTDA,07534937000196
08.1.759.1224,,,,4015,1526,10,301,4,4,90,51,0,8,38404,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181
08.1.759.1224,,,,4016,1535,10,302,4,4,90,51,0,8,38405,CONSORCIO UG,51803790000184
08.1.759.1224,,,,4016,1535,10,302,4,4,90,51,0,8,38407,CONSORCIO UG,51803790000184
08.1.759.1224,,,,4016,1535,10,302,4,4,90,51,0,8,38410,CONSTRUTORA SANDIN LTDA,51182145000191
08.1.759.1224,,,,4016,1535,10,302,4,4,90,51,0,8,38413,CONSTRUTORA SANDIN LTDA,51182145000191
08.1.759.1224,,,,4015,1526,10,301,4,4,90,51,0,8,38421,CONSTRUISO ENGENHARIA E EMPREENDIMENTOS LTDA,04206255000166
08.1.759.1224,,,,4015,1526,10,301,4,4,90,51,0,8,38422,M A S CONSTRUCOES E EMPREENDIMENTOS LIMITADA,67192609000180
08.1.759.1224,,,,4015,1526,10,301,4,4,90,51,0,8,38424,ALMEIDA SAPATA ENGENHARIA E CONSTRUCOES LTDA,66748955000130
08.1.759.1224,,,,4015,1526,10,301,4,4,90,51,0,8,38426,CONSTRUTORA PROGREDIOR LTDA,56838949000110
08.1.759.1224,,,,4015,1526,10,301,4,4,90,51,0,8,38427,LEMAM CONSTRUCOES E COMERCIO SA,04002395000112
08.1.759.1224,,,,4015,1526,10,301,4,4,90,51,0,8,38434,H E ENGENHARIA COMERCIO E REPRESENTACOES LTDA,62533278000181
08.2.759.1224,,,,4016,1536,10,302,4,4,90,51,0,8,38436,BB ENGENHARIA E CONSTRUCOES S A,03643992000163
