txtDescricaoMovimentoReceita,valOrcadoInicial,codMovimentoReceita,valRealizado,modifiedMode,usuarioOperacao,mesAteMovimento_consulta
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,0.0,1311020103210000000000000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,0.0,1311020103210000001100000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,0.0,1311020103210000001101000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,222780.0,1311021103210000000000000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,222780.0,1311021103210000001100000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,222780.0,1311021103210000001101000,0.0,5,,1
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,4214340.85,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,101583060.0,1339990101000000000000000,6715647.01,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,101583060.0,1339990101000000001100000,6715647.01,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,101583060.0,1339990101000000001101000,6715647.01,5,,1
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,0.0,5,,1
"RESTITUIÇÕES - FMD - ARTº 6, LEI 16.651/2017",0.0,2999990102160000000000000,0.0,5,,1
"RESTITUIÇÕES - FMD - ARTº 6, LEI 16.651/2017",0.0,2999990102160000001100000,0.0,5,,1
"RESTITUIÇÕES - FMD - ARTº 6, LEI 16.651/2017",0.0,2999990102160000001101000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,0.0,1311020103210000000000000,0.0,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,0.0,1311020103210000001100000,0.0,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,0.0,1311020103210000001101000,0.0,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,222780.0,1311021103210000000000000,0.0,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,222780.0,1311021103210000001100000,0.0,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,222780.0,1311021103210000001101000,0.0,5,,2
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,6949421.4,5,,2
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,101583060.0,1339990101000000000000000,17767891.05,5,,2
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,101583060.0,1339990101000000001100000,17767891.05,5,,2
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,101583060.0,1339990101000000001101000,17767891.05,5,,2
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,0.0,5,,2
"RESTITUIÇÕES - FMD - ARTº 6, LEI 16.651/2017",0.0,2999990102160000000000000,0.0,5,,2
"RESTITUIÇÕES - FMD - ARTº 6, LEI 16.651/2017",0.0,2999990102160000001100000,0.0,5,,2
"RESTITUIÇÕES - FMD - ARTº 6, LEI 16.651/2017",0.0,2999990102160000001101000,0.0,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,0.0,1311020103210000000000000,0.0,5,,3
