txtDescricaoMovimentoReceita,valOrcadoInicial,codMovimentoReceita,valRealizado,modifiedMode,usuarioOperacao,mesAteMovimento_consulta
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,468000.0,1310021103210000000000000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,468000.0,1310021103210000001100000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,468000.0,1310021103210000001101000,0.0,5,,1
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321005101090890000000000,422516.22,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,1545102000.0,1339991101000000000000000,0.0,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,1545102000.0,1339991101000000001100000,0.0,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,1545102000.0,1339991101000000001101000,0.0,5,,1
DEDUÇÕES DE OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,0.0,1339991101000000001109001,0.0,5,,1
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,369125000.0,2220001101020020001101000,1417989.48,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,468000.0,1310021103210000000000000,0.0,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,468000.0,1310021103210000001100000,0.0,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,468000.0,1310021103210000001101000,0.0,5,,2
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321005101090890000000000,642804.78,5,,2
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,1545102000.0,1339991101000000000000000,1455817.69,5,,2
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,1545102000.0,1339991101000000001100000,1455817.69,5,,2
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,1545102000.0,1339991101000000001101000,1455817.69,5,,2
DEDUÇÕES DE OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,0.0,1339991101000000001109001,0.0,5,,2
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,369125000.0,2220001101020020001101000,2292989.48,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,468000.0,1310021103210000000000000,0.0,5,,3
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,468000.0,1310021103210000001100000,0.0,5,,3
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,468000.0,1310021103210000001101000,0.0,5,,3
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321005101090890000000000,896783.07,5,,3
