txtDescricaoMovimentoReceita,valOrcadoInicial,codMovimentoReceita,valRealizado,modifiedMode,usuarioOperacao,mesAteMovimento_consulta
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000000000000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000001100000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000001101000,0.0,5,,1
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321005101090890000000000,1085007.73,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000000000000,4354726.79,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000001100000,4354726.79,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000001101000,4354726.79,5,,1
TOTAL DEDUÇÕES OUTORGA PROVENIENTES DE CONCESSÕES-FMD,0.0,1339991101000000001109000,0.0,5,,1
DEDUÇÕES DE OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,0.0,1339991101000000001109001,0.0,5,,1
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,254308142.0,2220001101020020001101000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000000000000,0.0,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000001100000,0.0,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000001101000,0.0,5,,2
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321005101090890000000000,1462821.85,5,,2
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000000000000,8712321.65,5,,2
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000001100000,8712321.65,5,,2
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000001101000,8712321.65,5,,2
TOTAL DEDUÇÕES OUTORGA PROVENIENTES DE CONCESSÕES-FMD,0.0,1339991101000000001109000,0.0,5,,2
DEDUÇÕES DE OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,0.0,1339991101000000001109001,0.0,5,,2
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,254308142.0,2220001101020020001101000,0.0,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000000000000,0.0,5,,3
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000001100000,0.0,5,,3
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000001101000,0.0,5,,3
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321005101090890000000000,2148193.69,5,,3
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000000000000,13157575.86,5,,3
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000001100000,13157575.86,5,,3
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000001101000,13157575.86,5,,3
TOTAL DEDUÇÕES OUTORGA PROVENIENTES DE CONCESSÕES-FMD,0.0,1339991101000000001109000,0.0,5,,3
DEDUÇÕES DE OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,0.0,1339991101000000001109001,0.0,5,,3
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,254308142.0,2220001101020020001101000,0.0,5,,3
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000000000000,0.0,5,,4
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000001100000,0.0,5,,4
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000001101000,0.0,5,,4
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321005101090890000000000,2774763.72,5,,4
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000000000000,13619415.75,5,,4
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000001100000,13619415.75,5,,4
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000001101000,13619415.75,5,,4
TOTAL DEDUÇÕES OUTORGA PROVENIENTES DE CONCESSÕES-FMD,0.0,1339991101000000001109000,0.0,5,,4
DEDUÇÕES DE OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,0.0,1339991101000000001109001,0.0,5,,4
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,254308142.0,2220001101020020001101000,0.0,5,,4
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000000000000,0.0,5,,5
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000001100000,0.0,5,,5
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 – FMD,209016.0,1310021103210000001101000,0.0,5,,5
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321005101090890000000000,3848118.33,5,,5
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000000000000,14164014.27,5,,5
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000001100000,14164014.27,5,,5
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,893083583.0,1339991101000000001101000,14164014.27,5,,5
