txtDescricaoMovimentoReceita,valOrcadoInicial,codMovimentoReceita,valRealizado,modifiedMode,usuarioOperacao,mesAteMovimento_consulta
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,145380.0,1311020103210000000000000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,145380.0,1311020103210000001100000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,145380.0,1311020103210000001101000,0.0,5,,1
"CONCESSÃO, PERM., AUT. OU CESSÃO DIREITO DE USO BENS IMÓVEIS PUB - FMD",0.0,1311020103270000000000000,0.0,5,,1
"CONCESSÃO, PERM., AUT. OU CESSÃO DIREITO DE USO BENS IMÓVEIS PUB - FMD",0.0,1311020103270000001100000,0.0,5,,1
"CONCESSÃO, PERM., AUT. OU CESSÃO DIREITO USO DE BENS IMÓVEIS PUB.- FMD",0.0,1311020103270000001101000,0.0,5,,1
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,4952215.02,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,149581358.0,1339990101000000000000000,632881.12,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,149581358.0,1339990101000000001100000,632881.12,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,149581358.0,1339990101000000001101000,632881.12,5,,1
CESSÃO DE DIREITO DE NOMEAÇÃO (NAMING RIGHTS) - FMD,4132843.0,1399990101010030000000000,0.0,5,,1
CESSÃO DE DIREITO DE NOMEAÇÃO (NAMING RIGHTS) - FMD,4132843.0,1399990101010030001100000,0.0,5,,1
CESSÃO DE DIREITO DE NOMEAÇÃO (NAMING RIGHTS) - FMD,4132843.0,1399990101010030001101000,0.0,5,,1
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,0.0,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,0.0,7339990101000000000000000,0.0,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,0.0,7339990101000000001100000,0.0,5,,1
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,0.0,7339990101000000001101000,0.0,5,,1
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,145380.0,1311020103210000000000000,0.0,5,,2
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,145380.0,1311020103210000001100000,0.0,5,,2
