txtDescricaoMovimentoReceita,valOrcadoInicial,codMovimentoReceita,valRealizado,modifiedMode,usuarioOperacao,mesAteMovimento_consulta
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,70724544.08,5,,7
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,70724544.08,5,,7
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,70724544.08,5,,7
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,3663121.64,5,,7
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,8
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,8
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,8
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,6312279.5,5,,8
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,81755588.19,5,,8
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,81755588.19,5,,8
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,81755588.19,5,,8
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,3663121.64,5,,8
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,9
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,9
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,9
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,7074597.76,5,,9
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,89739463.86,5,,9
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,89739463.86,5,,9
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,89739463.86,5,,9
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,0.0,2221010101020020001101000,396591189.04,5,,9
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,10
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,10
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,10
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,12424474.28,5,,10
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,97920931.13,5,,10
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,97920931.13,5,,10
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,97920931.13,5,,10
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,388000000.0,2221010101020020001101000,417271613.64,5,,10
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,11
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,11
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,11
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,17468411.67,5,,11
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,115023068.78,5,,11
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,115023068.78,5,,11
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,115023068.78,5,,11
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,413000000.0,2221010101020020001101000,417271613.64,5,,11
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000000000000,0.0,5,,12
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001100000,0.0,5,,12
TERMO DE PERMISSÃO DE USO - DECRETO 58.727/2019 - FMD,442728.0,1311020103210000001101000,0.0,5,,12
FUNDO MUNICIPAL DE DESENVOLVIMENTO SOCIAL,0.0,1321050101090890000000000,22753305.17,5,,12
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000000000000,121622032.74,5,,12
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001100000,121622032.74,5,,12
OUTORGAS PROVENIENTES DE CONCESSÕES - FMD,106060339.0,1339990101000000001101000,121622032.74,5,,12
ALIENAÇÃO DE BENS E DIREITOS IMOBILIÁRIOS - FMD,413000000.0,2221010101020020001101000,417271613.64,5,,12
