endpoint,ano,codOrgao,txtDescricaoOrgao,codigoEmpresa,descricaoEmpresa,modifiedMode,usuarioOperacao,codFonteRecurso,txtDescricaoFonteRecurso,anoExercicio,codPrograma,txtDescricaoPrograma,codProjetoAtividade,txtDescricaoProjetoAtividade,codUnidade,txtDescricaoUnidade,codigoOrgao,descricaoOrgao,_codOrgao_consultado
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,10,Gabinete do Secretário,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,11,Supervisão Geral de Administração,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,12,Supervisão Geral de Desenvolvimento de Pessoal,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,13,Supervisão Geral de Planejamento e Controle,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,20,Supervisão Regional de Assistência Social de Campo Limpo,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,21,Coordenadoria de Assistência Social - CAS Sudeste,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,22,Coordenadoria de Assistência Social - CAS Leste,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,23,Coordenadoria de Assistência Social - CAS Centro-Oeste,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,24,Coordenadoria de Assistência Social - CAS Sul,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,25,Coordenadoria de Assistência Social - CAS Norte,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,30,Supervisão Regional de Assistência Social da Freguesia do Ó,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,40,Supervisão Regional de Assistência Social de São Miguel Paulista,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,50,Supervisão Regional de Assistência Social da Sé/Lapa,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,60,Supervisão Regional de Assistência Social de Vila Prudente,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,83,Companhia Metropolitana de Habitação de São Paulo,24,Secretaria Municipal de Assistência e Desenvolvimento Social,24
unidades,2025,,,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,,,,,,,,,10,Gabinete do Secretário,40,Secretaria Municipal de Desestatização e Parcerias,40
