codPrograma,txtDescricaoPrograma,modifiedMode,usuarioOperacao
0275,Assistência às Pessoas Idosas,5,
0276,Assistência à População de Rua,5,
0278,Prog. Canal. Cor. Impl. Vias e Recup. Amb. e Soc. Fundo Vale - PROCAV,5,
0279,Ampliação e Benfeitorias - Obras,5,
0282,Previdência Social a Pensionistas,5,
0283,Previdência Social a Segurados e Pensionistas,5,
0284,Comércio de Serviços Funerários,5,
0285,Aperfeiçoamento Profissional,5,
0286,Assistência Médico-Hospitalar,5,
0287,Locação de Leitos,5,
0288,Serviços Médicos Contratados,5,
0289,Assistência Farmacêutica,5,
0290,Fundo de Manutenção e Melhoria,5,
0291,Reembolso ao Serviço Funerário,5,
0292,Divulgação do Legislativo,5,
0293,Programa de Capacitação Ocupacional,5,
0294,Programa de Alocação de Trabalhadores,5,
0295,Programa de Reestruturação Prod. e  Relações do Trabalho,5,
0296,Promoção do Desporto Educacional,5,
0297,Programa Bolsa-Educação,5,
0300,Alfabetização de Jovens e Adultos - MOVA,5,
0301,Educação de Jovens e Adultos,5,
0302,Sistema de Gestão de Informações,5,
0303,Garantia de Acesso e Permanência,5,
0304,Educação Integrada,5,
0305,Teatros Municipais,5,
0306,Bibliotecas Municipais,5,
0307,"Patrimônio Histórico, Artístico e Arqueológico",5,
0308,Prevenção a Enchentes,5,
0309,Revitalização de Bairros,5,
0310,Contenção em Áreas de Risco Geológico,5,
0311,Programas de Estudos Astronômicos,5,
0312,"Combate à Pobreza, à Desigualdade e ao Desemprego",5,
0313,Programa de Recuperação Ambiental,5,
0314,Inclusão Digital,5,
0315,Coleta Seletiva Solidária,5,
0316,Promoção de Relações Nacionais e Internacionais,5,
0317,Ação Centro-BID,5,
0318,Promoção da Cidadania,5,
0319,Confecção e Atualização de Mapas e Planta Genérica de Valores-Cadlog,5,
0320,Gestão de Consumo de Energia Elétrica,5,
0321,Ensino Profissional,5,
0322,Integralidade da Atenção,5,
0323,Fortalecimento de Assistência à Saúde,5,
0324,SUS com Qualidade,5,
0325,Capacitação Profissional,5,
0326,Desenvolvimento Territorial/Setorial,5,
0327,Serviços Integrados ao Trabalhador,5,
0328,Ampliação do Tempo de Permanência do Aluno,5,
0329,Educação Indígena,5,
0330,Ensino Técnico,5,
0331,Educação Infantil,5,
0332,Qualidade do Ensino e Formação Profissional,5,
0333,Mobilidade e Acessibilidade,5,
0334,Qualidade de Vida Urbana e Ambiental,5,
0335,Integração Metropolitana,5,
0336,Operações Especiais,5,
0337,Promoção de Desenvolvimento Local,5,
0338,Promoção de Acessibilidade,5,
0339,Proteção ao Meio Ambiente e a Qualidade de Vida,5,
0340,Sistema de Informação e Processamento de Dados,5,
0341,Fortalecimento Institucional e Melhoria da Gestão,5,
0342,Reabilitação Social no Centro,5,
0343,Assistência e Desenvolvimento Social à Família-Proteção Social Básica,5,
0344,Assistência à Pessoa em Situação de Risco-Proteção Social e Especial,5,
0345,Mananciais,5,
0346,Regularização de Loteamentos Irregulares,5,
0347,Revitalização de Empreendimentos Habitacionais (3R s),5,
0348,Produção de Soluções de Moradia,5,
0349,Proteção Cidadã,5,
0350,Promoção e Defesa dos Direitos Humanos,5,
0351,Gestão Tributária,5,
0352,Programa Municipal de Alimentação Escolar,5,
0353,Programa de Abastecimento à Comunidade,5,
0354,Governo Eletrônico,5,
0355,Assistência Farmacêutica,5,
0356,Programa Municipal de Parcerias Público-Privadas,5,
1111,Acesso à saúde e qualidade no atendimento - Integralidade da atenção,5,
1112,Acesso à saúde e qualidade no atendimento - Fortalecimento de assistência a saúde,5,
1113,Acesso à saúde e qualidade no atendimento - SUS com qualidade,5,
1114,Acesso à saúde e qualidade no atendimento - Assistência farmacêutica,5,
1121,Acesso à educação e qualidade do ensino - Educação infantil,5,
1122,Acesso à educação e qualidade do ensino - Ensino fundamental,5,
1123,Acesso à educação e qualidade do ensino - Educação de jovens e adultos,5,
1124,Acesso à educação e qualidade do ensino - Educação integrada,5,
1125,Acesso à educação e qualidade do ensino - Educação especial,5,
1126,Acesso à educação e qualidade do ensino - Ampliação do tempo de permanência do aluno,5,
1127,"Acesso à educação e qualidade do ensino - Formação, Avaliação e Aprimoramento do Ensino",5,
1128,Acesso à educação e qualidade do ensino - Alimentação escolar,5,
1131,Acesso à moradia - Urbanização de favelas,5,
1132,Acesso à moradia - Regularização fundiária,5,
1133,Acesso à moradia - Ações de habitação,5,
1141,Fortalecimento da rede de proteção social - Básica,5,
1142,Fortalecimento da rede de proteção social - Especial,5,
1143,Fortalecimento da rede de proteção social - Assistência Geral,5,
1150,Ampliação das políticas de inclusão para cidadãos com deficiência e mobilidade reduzida,5,
1160,Defesa dos direitos humanos,5,
1170,Ampliação da proteção ao cidadão,5,
1210,Cidade mais verde,5,
1220,Preservação dos recursos hídricos,5,
1230,Melhoria da drenagem urbana,5,
1240,Gestão adequada dos resíduos sólidos,5,
1250,Redução das emissões de poluentes na atmosfera,5,
1261,Melhoria da mobilidade urbana - Eficiência no trânsito,5,
1262,Melhoria da mobilidade urbana - Transporte público,5,
1263,Melhoria da mobilidade urbana - Integração metropolitana,5,
1270,Ações de economia sustentável,5,
1280,Incentivo à cultura de paz,5,
1310,Fortalecimento/Requalificação do Centro - BID,5,
1320,Incentivo à produção cultural e à interação criativa,5,
1330,Consolidação da cidade como marco nacional em esporte e lazer,5,
1340,Afirmação da cidade como referência mundial em eventos e turismo,5,
1410,Estímulo ao emprego e à qualificação dos trabalhadores,5,
1420,Incentivo ao empreendedorismo e ao ambiente de negócios,5,
1430,Atração de novos parceiros e investimentos internacionais,5,
1440,Priorização de áreas estratégicas para a criação de empregos e negócios,5,
1450,Promoção do desenvolvimento econômico e social da Zona Leste,5,
1460,Aprimoramento da infraestrutura urbana,5,
1510,Agilidade nos processos internos,5,
1520,Eficiência e transparência na gestão dos recursos,5,
1530,Qualidade da receita e da despesa,5,
1540,Capacitação do funcionalismo,5,
