codFonteRecurso,txtDescricaoFonteRecurso,anoExercicio,modifiedMode,usuarioOperacao
00.1.500.7999,Ações Governamentais,2025,5,
00.1.500.9001,Recursos não vinculados de Impostos,2025,5,
00.1.500.9003,Recursos de Imposto de Renda Retido na Fonte - IRRF,2025,5,
00.1.500.9004,Demandas do Conselho Participativo,2025,5,
00.1.500.9005,Recursos destinados ao Orçamento Cidadão,2025,5,
00.1.501.0003,Campo de Marte,2025,5,
00.1.501.0004,Recursos do FUMCAD desvinculados,2025,5,
00.1.501.0006,Recursos desvinculados conforme art. 76-B do ADCT,2025,5,
00.1.501.7001,Emendas Parlamentares - Eli Corrêa,2025,5,
00.1.501.7002,Emendas Parlamentares - João Ananias,2025,5,
00.1.501.7003,Emendas Parlamentares - Bombeiro Major Palumbo,2025,5,
00.1.501.7004,Emendas Parlamentares - Alessandro Guedes,2025,5,
00.1.501.7005,Emendas Parlamentares - Daniel Annenberg,2025,5,
00.1.501.7006,Emendas Parlamentares - Dr. Milton Ferreira,2025,5,
00.1.501.7007,Emendas Parlamentares - André Santos,2025,5,
00.1.501.7008,Emendas Parlamentares - Arselino Tatto,2025,5,
00.1.501.7009,Emendas Parlamentares - Isac Félix,2025,5,
00.1.501.7010,Emendas Parlamentares - Cris Monteiro,2025,5,
00.1.501.7011,Emendas Parlamentares - Danilo do Posto de Saúde,2025,5,
00.1.501.7012,Emendas Parlamentares - Elaine Mineiro,2025,5,
00.1.501.7013,Emendas Parlamentares - Manoel Del Rio,2025,5,
00.1.501.7014,Emendas Parlamentares - Atílio Francisco,2025,5,
00.1.501.7015,Emendas Parlamentares - Ely Teruel,2025,5,
00.1.501.7016,Emendas Parlamentares - George Hato,2025,5,
00.1.501.7017,Emendas Parlamentares - Jair Tatto,2025,5,
00.1.501.7018,Emendas Parlamentares - Fábio Riva,2025,5,
00.1.501.7019,Emendas Parlamentares - Jussara Basso,2025,5,
00.1.501.7020,Emendas Parlamentares - Fernando Holiday,2025,5,
00.1.501.7021,Emendas Parlamentares - Coronel Salles,2025,5,
00.1.501.7022,Emendas Parlamentares - Rodolfo Despachante,2025,5,
00.1.501.7023,Emendas Parlamentares - Janaína Lima,2025,5,
00.1.501.7024,Emendas Parlamentares - Sidney Cruz,2025,5,
00.1.501.7025,Emendas Parlamentares - Roberto Tripoli,2025,5,
00.1.501.7026,Emendas Parlamentares - Luana Alves,2025,5,
00.1.501.7027,Emendas Parlamentares - Luna,2025,5,
00.1.501.7028,Emendas Parlamentares - Marcelo Messias,2025,5,
00.1.501.7029,Emendas Parlamentares - Gilson Barreto,2025,5,
00.1.501.7030,Emendas Parlamentares - Rute Costa,2025,5,
00.1.501.7031,Emendas Parlamentares - João Jorge,2025,5,
00.1.501.7032,Emendas Parlamentares - Edir Sales,2025,5,
00.1.501.7033,Emendas Parlamentares - Milton Leite,2025,5,
00.1.501.7034,Emendas Parlamentares - Dr. Nunes Peixeiro,2025,5,
00.1.501.7035,Emendas Parlamentares - Rinaldi Digilio,2025,5,
00.1.501.7036,Emendas Parlamentares - Marlon Luz,2025,5,
00.1.501.7037,Emendas Parlamentares - Rubinho Nunes,2025,5,
00.1.501.7038,Emendas Parlamentares - Rodrigo Goulart,2025,5,
00.1.501.7039,Emendas Parlamentares - Sandra Santana,2025,5,
00.1.501.7040,Emendas Parlamentares - Camilo Cristofaro Martins,2025,5,
00.1.501.7041,Emendas Parlamentares - Sansão Pereira,2025,5,
00.1.501.7042,Emendas Parlamentares - Aurélio Nomura,2025,5,
00.1.501.7043,Emendas Parlamentares - Celso Giannazi,2025,5,
00.1.501.7044,Emendas Parlamentares - Dra Sandra Tadeu,2025,5,
00.1.501.7045,Emendas Parlamentares - Paulo Frange,2025,5,
00.1.501.7046,Emendas Parlamentares - Adilson Amadeu,2025,5,
00.1.501.7047,Emendas Parlamentares - Silvia Ferraro,2025,5,
00.1.501.7048,Emendas Parlamentares - Senival Moura,2025,5,
00.1.501.7049,Emendas Parlamentares - Toninho Vespoli,2025,5,
00.1.501.7050,Emendas Parlamentares - Hélio Rodrigues,2025,5,
00.1.501.7051,Emendas Parlamentares - Xexéu Tripoli,2025,5,
00.1.501.7052,Emendas Parlamentares - Jorge Wilson Filho,2025,5,
