codOrgao,txtDescricaoOrgao,codigoEmpresa,descricaoEmpresa,modifiedMode,usuarioOperacao
45,Subprefeitura Santana/Tucuruvi,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
46,Subprefeitura Jaçanã/Tremembé,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
47,Subprefeitura Vila Maria/Vila Guilherme,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
48,Subprefeitura Lapa,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
49,Subprefeitura Sé,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
50,Subprefeitura Butantã,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
51,Subprefeitura Pinheiros,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
52,Subprefeitura Vila Mariana,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
53,Subprefeitura Ipiranga,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
54,Subprefeitura Santo Amaro,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
55,Subprefeitura Jabaquara,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
56,Subprefeitura Cidade Ademar,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
57,Subprefeitura Campo Limpo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
58,Subprefeitura M'Boi Mirim,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
59,Subprefeitura Capela do Socorro,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
60,Subprefeitura Parelheiros,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
61,Subprefeitura Penha,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
62,Subprefeitura Ermelino Matarazzo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
63,Subprefeitura São Miguel Paulista,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
64,Subprefeitura Itaim Paulista,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
65,Subprefeitura Mooca,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
66,Subprefeitura Aricanduva/Formosa/Carrão,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
67,Subprefeitura Itaquera,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
68,Subprefeitura de Guaianases,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
69,Subprefeitura de Vila Prudente,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
70,Subprefeitura São Mateus,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
71,Subprefeitura Cidade Tiradentes,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
72,Subprefeitura Sapopemba,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
73,Secretaria Municipal de Relações Internacionais,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
74,Secretaria Municipal de Turismo,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
75,Fundo Municipal de Parques,01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,5,
