txtDescricaoModalidade,codEmpresa,codTipoContratacao,valReajustes,codProcesso,codModalidade,datVigencia,datAssinaturaContrato,valAditamentos,codContrato,valLiquidado,codOrgao,valPago,valAnulacao,valEmpenhadoLiquido,valTotalEmpenhado,anoContrato,numOriginalContrato,txtDescricaoOrgao,valAnuladoEmpenho,datPublicacaoContrato,valPrincipal,txtTipoContratacao,txtObjetoContrato,modifiedMode,usuarioOperacao
Não Aplicável,01,45,0.0,6018202100923554,8,18/10/2024 00:00:00,14/03/2022 00:00:00,11096353.52,5441,19329393.74,07,19329393.74,0.0,19329393.74,28261301.47,2022,PPP 01_03/22,Fundo Municipal de Desenvolvimento Social,8931907.73,15/03/2022 00:00:00,8792629.5,Acordo de Cooperação Técnica Com ônus,"Execução do objeto do Acordo de Cooperação PPP 01.03/22 058451662, Contrato Aditamento PPP 01.04/22 059772929 referente a implantação da UPA Sacomã, onerando a dotação 07.10.10.302.3003.5.204.44095100.08, através da Nota de Reserva com Transferência nº 20.247/22 059790136 - Processo SEI 7610.2022/0000505-1.",5,
Não Aplicável,01,45,0.0,7610201900015450,8,31/12/2022 00:00:00,29/07/2022 00:00:00,0.0,20014,1754206.61,07,1754206.61,0.0,1754206.61,1843483.27,2022,72/2020,Fundo Municipal de Desenvolvimento Social,89276.66,30/07/2022 00:00:00,1843483.27,Acordo de Cooperação Técnica Com ônus,"Execução de serviços e obras de contenção visando promover a consolidação geotécnica e estabilização de taludes em áreas de risco, com utilização de muros de arrimo de concreto armado, drenagem de águas pluviais, urbanização e serviços complementares",5,
Não Aplicável,01,45,0.0,7610201900015450,8,31/12/2022 00:00:00,29/07/2022 00:00:00,0.0,20015,117056.04,07,117056.04,0.0,117056.04,121725.17,2022,72/2020,Fundo Municipal de Desenvolvimento Social,4669.13,29/07/2022 00:00:00,121725.17,Acordo de Cooperação Técnica Com ônus,"Execução de serviços e obras de contenção visando promover a consolidação geotécnica e estabilização de taludes em áreas de risco, com utilização de muros de arrimo de concreto armado, drenagem de águas pluviais, urbanização e serviços complementares",5,
Não Aplicável,01,45,0.0,7610201900034927,8,31/12/2022 00:00:00,,0.0,20188,332918.35,07,332918.35,0.0,332918.35,703727.58,2022,,Fundo Municipal de Desenvolvimento Social,370809.23,,703727.58,Acordo de Cooperação Técnica Com ônus,"Pagamento de serviços gerais de manutenção corretiva, reparação, adaptação, modificação, revitalização, recuperação e complementação do Residencial Parque do Gato",5,
Não Aplicável,01,45,0.0,7610201900036393,8,31/12/2022 00:00:00,01/08/2022 00:00:00,0.0,20195,805662.97,07,805662.97,0.0,805662.97,857366.5,2022,55/2020,Fundo Municipal de Desenvolvimento Social,51703.53,02/08/2022 00:00:00,857366.5,Acordo de Cooperação Técnica Com ônus,"Pagamento de serviços gerais de manutenção corretiva, reparação, adaptação, modificação, revitalização, recuperação e complementação dos Residenciais: Vila dos Idosos, Olarias, Senador Feijó, Palacete dos Artistas, Asdrúbal do Nascimento e Mario de Andrade",5,
Não Aplicável,01,45,0.0,7610201900036369,8,31/12/2022 00:00:00,,0.0,20209,480183.25,07,480183.25,0.0,480183.25,480183.25,2022,,Fundo Municipal de Desenvolvimento Social,0.0,,717911.2,Acordo de Cooperação Técnica Com ônus,"Pagamento serviços gerais de manutenção corretiva, reparação, adaptação, modificação, revitalização, recuperação e complementação no Conjunto Habitacional Parque Ipê",5,
Não Aplicável,01,45,0.0,7610201900034960,8,15/01/2023 00:00:00,01/08/2022 00:00:00,-1272.55,20210,4619105.56,07,4619105.56,0.0,4619105.56,4656585.24,2022,89/2021,Fundo Municipal de Desenvolvimento Social,37479.68,02/08/2022 00:00:00,4656585.24,Acordo de Cooperação Técnica Com ônus,"Pagamento de prestação de serviços gerais de manutenção corretiva, reparação, adaptação, modificação, revitalização, recuperação e complementação no C. H. Jardim Imperador",5,
Não Aplicável,01,45,0.0,7610201900034951,8,31/12/2022 00:00:00,01/08/2022 00:00:00,0.0,20217,2047341.36,07,2047341.36,0.0,2047341.36,2178999.55,2022,62/2020,Fundo Municipal de Desenvolvimento Social,131658.19,02/08/2022 00:00:00,2178999.55,Acordo de Cooperação Técnica Com ônus,"Execução de serviços gerais de manutenção corretiva, reparação, adaptação, modificação, revitalização, recuperação e complementação no Conjunto Habitacional Vila Nilo",5,
Não Aplicável,01,45,0.0,7610201800014258,8,16/12/2023 00:00:00,01/08/2022 00:00:00,1449617.16,20226,702112.92,07,702112.92,0.0,702112.92,761520.3,2022,85/2019,Fundo Municipal de Desenvolvimento Social,59407.38,02/08/2022 00:00:00,644615.7,Acordo de Cooperação Técnica Com ônus,"Pagamento de despesas com contratação de empresa para a construção de trincheiras de extração de gases e vapores e para a mobilização, a instalação e a inicialização de um sistema de extração de vapores, na subárea de intervenção g, bem como a realização dos serviços contínuos de monitoramento, de operação, de conservação e de manutenção, preventiva e corretiva, de 12 (doze) sistemas de extração de vapores, inclusive metano, no C. H. Heliópolis L, Glebas I e II, para atender à remediação ambiental por contenção, monitoramento da eficiência e eficácia dos sistemas de drenagem de vapores e gerenciamento da situação ambiental",5,
Não Aplicável,01,45,0.0,7610201900036385,8,31/12/2022 00:00:00,01/08/2022 00:00:00,0.0,20257,650896.55,07,650896.55,0.0,650896.55,998544.87,2022,43/2020,Fundo Municipal de Desenvolvimento Social,347648.32,01/08/2022 00:00:00,998544.87,Acordo de Cooperação Técnica Com ônus,"Pagamento de serviços gerais de manutenção corretiva, reparação, adaptação, modificação, revitalização, recuperação e complementação no empreendimento denominado C. H. Vila Mara, e demais empenhamentos e/ou  cancelamentos necessários durante o exercício 2022",5,
Não Aplicável,01,45,0.0,7610201900036407,8,31/12/2022 00:00:00,,0.0,20265,1829957.16,07,1829957.16,0.0,1829957.16,1829957.16,2022,,Fundo Municipal de Desenvolvimento Social,0.0,,1829957.16,Acordo de Cooperação Técnica Com ônus,"Pagamento de serviços gerais de manutenção corretiva, reparação, adaptação, modificação, revitalização, recuperação e complementação no Conjunto Habitacional Munck",5,
Não Aplicável,01,45,0.0,7610201900036377,8,31/12/2022 00:00:00,,0.0,20268,1069209.14,07,1069209.14,0.0,1069209.14,1069209.14,2022,,Fundo Municipal de Desenvolvimento Social,0.0,,1069209.14,Acordo de Cooperação Técnica Com ônus,"Pagamento de serviços gerais de manutenção corretiva, reparação, adaptação, modificação, revitalização, recuperação e complementação no empreendimento denominado Jardim João XXIII",5,
Não Aplicável,01,45,0.0,201402076742,8,31/12/2022 00:00:00,04/08/2022 00:00:00,0.0,20719,1754550.34,07,1754550.34,0.0,1754550.34,4946819.54,2022,50/2018,Fundo Municipal de Desenvolvimento Social,3192269.2,05/08/2022 00:00:00,4946819.54,Acordo de Cooperação Técnica Com ônus,"Execução de obras de canalização do afluente do Córrego Reimberg Cocaia - empreendimento Vila Nascente/AMAI 0 Subprefeitura Capela do Socorro - São Paulo, SP",5,
Não Aplicável,01,45,0.0,7610202200013259,8,14/08/2023 00:00:00,18/10/2022 00:00:00,0.0,28316,340845.33,07,340845.33,0.0,340845.33,3104126.0,2022,99/2022,Fundo Municipal de Desenvolvimento Social,2763280.67,18/10/2022 00:00:00,6757181.64,Acordo de Cooperação Técnica Com ônus,"Execução de serviços de reforma, manutenção e conservação do C.H. IV Centenário, localizado na Rua Joana Avancini Prado, composto pelo condomínio n° 739, Jd. Primavera-São Paulo/SP, com 184 unidades nos blocos 8, 9, 10 e condomínio n° 255, com 88 unidades, totalizando 266 unidades habitacionais",5,
Não Aplicável,01,45,0.0,6018202200391783,8,29/03/2026 00:00:00,17/11/2022 00:00:00,14822415.3,32301,25604291.04,07,25604291.04,0.0,25604291.04,53074719.25,2022,PPP 01.04/22,Fundo Municipal de Desenvolvimento Social,27470428.21,17/11/2022 00:00:00,13173736.22,Acordo de Cooperação Técnica Com ônus,"Execução das obras contratadas objeto do Acordo de Cooperação Técnica PPP 01.04/22 e Termo Aditivo PPP nº 01.05/22, visando a implantação do Centro Oncológico Bruno Covas, localizado à Avenida Santa Catarina, nº 2785 - Distrito V. Sta. Catarina, Subprefeitura Jabaquara, onerando a dotação 07.10.10.302.3003.5.204.4.4.90.51.00.08, através da Nota de Reserva com Transferência nº 20.247/22 (059790136) - Processo SEI 6018.2022/0039178-3",5,
