valLiquidado,valPagoRestos,valSuplementado,valPagoExercicio,valCanceladoReserva,valDescongelado,valReservado,valEmpenhadoLiquido,valTotalEmpenhado,valReservadoLiquido,valAnuladoEmpenho,valDisponivel,valOrcadoInicial,valCongelado,valReduzido,valOrcadoAtualizado,modifiedMode,usuarioOperacao
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65449375.0,65449375.0,0.0,0.0,65449375.0,5,
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,65449375.0,65449375.0,0.0,0.0,65449375.0,5,
0.0,0.0,48587792.54,0.0,0.0,0.0,74031752.54,6626023.03,6626023.03,74031752.54,0.0,106137328.54,65449375.0,0.0,7899839.0,106137328.54,5,
3275090.38,0.0,48587792.54,1251542.27,6000000.0,0.0,74031752.54,57187637.59,57257808.63,68031752.54,70171.04,106137328.54,65449375.0,0.0,7899839.0,106137328.54,5,
18214442.28,0.0,54587792.54,15194761.26,12100000.0,0.0,86131752.54,66007103.36,66577350.47,74031752.54,570247.11,106137328.54,65449375.0,0.0,13899839.0,106137328.54,5,
22792003.25,0.0,101770792.54,22372507.74,12100000.0,0.0,86131752.54,66032103.36,66613133.31,74031752.54,581029.95,153320328.54,65449375.0,0.0,13899839.0,153320328.54,5,
26996316.27,0.0,101770792.54,24399940.77,12100000.0,0.0,133314752.54,89229435.52,89810465.47,121214752.54,581029.95,153320328.54,65449375.0,0.0,13899839.0,153320328.54,5,
26996316.27,0.0,101770792.54,24399940.77,12100000.0,0.0,133314752.54,89229435.52,89810465.47,121214752.54,581029.95,153320328.54,65449375.0,0.0,13899839.0,153320328.54,5,
26996316.27,0.0,101770792.54,24399940.77,12100000.0,0.0,133314752.54,89229435.52,89810465.47,121214752.54,581029.95,153320328.54,65449375.0,0.0,13899839.0,153320328.54,5,
26996316.27,0.0,101770792.54,24399940.77,12100000.0,0.0,133314752.54,89229435.52,89810465.47,121214752.54,581029.95,153320328.54,65449375.0,0.0,13899839.0,153320328.54,5,
26996316.27,0.0,101770792.54,24399940.77,12100000.0,0.0,133314752.54,89229435.52,89810465.47,121214752.54,581029.95,153320328.54,65449375.0,0.0,13899839.0,153320328.54,5,
26996316.27,0.0,101770792.54,24399940.77,12100000.0,0.0,133314752.54,89229435.52,89810465.47,121214752.54,581029.95,153320328.54,65449375.0,0.0,13899839.0,153320328.54,5,
