txtDescricaoModalidade,codEmpresa,codTipoContratacao,valReajustes,codProcesso,codModalidade,datVigencia,valAditamentos,codContrato,valLiquidado,codOrgao,valPago,valAnulacao,valEmpenhadoLiquido,valTotalEmpenhado,anoContrato,txtDescricaoOrgao,valAnuladoEmpenho,valPrincipal,txtTipoContratacao,txtObjetoContrato,modifiedMode,usuarioOperacao,datAssinaturaContrato,numOriginalContrato,datPublicacaoContrato
Não Aplicável,01,45,0.0,6018202100949391,8,23/04/2024 00:00:00,0.0,31839,0.0,07,0.0,3200000.0,0.0,0.0,2023,Fundo Municipal de Desenvolvimento Social,0.0,3200000.0,Acordo de Cooperação Técnica Com ônus,"Execução do objeto do Acordo de Cooperação PPP 04.02/22 058507685 Contrato Aditamento PPP 04.02/22 059772219, referente a implantação da UBS Malta II, onerando a dotação 84.10.10.301.3003.1.525.4.4.90.51.00.00.1.500.9001.1, através da Nota de Reserva com Transferência nº 28944/23 (081460603) - despacho de retificação (SEI 081657931)",5,,,,
Não Aplicável,01,22,0.0,7610202300048399,8,23/09/2026 00:00:00,0.0,35096,100000000.0,07,100000000.0,0.0,100000000.0,100000000.0,2023,Fundo Municipal de Desenvolvimento Social,0.0,100000000.0,Termo de Colaboração - Lei Federal 13.019/2014,Contratação dos blocos de análise 1 e 2 dos empreendimentos selecionados pelo Chamamento Público 001/SEHAB/COHAB-SP/2022 do Programa Pode Entrar,5,,14/11/2023 00:00:00,CT COHAB-CEF 89/23,14/11/2023 00:00:00
