codEmpresa,nomEmpresa,numReserva,codEmpenho,anoEmpenho,mesEmpenho,datEmpenho,codProcesso,numCpfCnpj,txtRazaoSocial,numContrato,anoContrato,codOrgao,txDescricaoOrgao,codUnidade,txDescricaoUnidade,codFuncao,txDescricaoFuncao,codSubFuncao,txDescricaoSubFuncao,codPrograma,txDescricaoPrograma,codProjetoAtividade,txDescricaoProjetoAtividade,codCategoria,txDescricaoCategoriaEconomica,codGrupo,txDescricaoGrupoDespesa,codModalidade,txDescricaoModalidade,codElemento,txDescricaoElemento,codFonteRecurso,txDescricaoFonteRecurso,codItemDespesa,txDescricaoItemDespesa,codSubElemento,txDescricaoSubElementoDespesa,valTotalEmpenhado,valAnuladoEmpenho,valEmpenhadoLiquido,valLiquidado,valPagoExercicio,valPagoRestos,anexos,codReferencia,codDestinacaoRecurso,codVinculacaoRecurso,codExeFonte,numeroOriginalContrato
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,24656,34533,2023,4,03/04/2023 00:00:00,6012202300050586,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,7375,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3022,Requalificação e Promoção da Ocupação dos Espaços Públicos,1137,Pavimentação e Recapeamento de Vias,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,3226510.49,938401.82,2288108.67,2288108.67,2288108.67,0.0,"[{""siglaUnidadeMedida"": ""UN"", ""descricaoAnexo"": ""serviços de conservação e manutenção da malha viária da cidade de São Paulo"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 3226510.49}]",,,,,106/SMSUB/COGEL/2023
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,24656,34546,2023,4,03/04/2023 00:00:00,6012202300050608,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,7380,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3022,Requalificação e Promoção da Ocupação dos Espaços Públicos,1137,Pavimentação e Recapeamento de Vias,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,3659414.6,547692.8,3111721.8,3111721.8,3111721.8,0.0,"[{""siglaUnidadeMedida"": ""1"", ""descricaoAnexo"": ""Serviços de Manutenção e Conservação de Malha Viária da Cidade de São Paulo "", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 3659414.6}]",,,,,112/SMSUB/COGEL/23
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,24656,34552,2023,4,03/04/2023 00:00:00,6012202300050616,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,7391,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3022,Requalificação e Promoção da Ocupação dos Espaços Públicos,1137,Pavimentação e Recapeamento de Vias,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,1911396.91,1911396.91,0.0,0.0,0.0,0.0,"[{""siglaUnidadeMedida"": ""UN"", ""descricaoAnexo"": ""Serviços de conservação e manutenção da malha viária da cidade de São Paulo"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 1911396.91}]",,,,,107/SMSUB/COGEL/2023
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,24656,34574,2023,4,03/04/2023 00:00:00,6012202300050306,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,7418,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3022,Requalificação e Promoção da Ocupação dos Espaços Públicos,1137,Pavimentação e Recapeamento de Vias,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,6435497.92,386139.38,6049358.54,6049358.54,6049358.54,0.0,"[{""siglaUnidadeMedida"": ""1"", ""descricaoAnexo"": ""Serviços de Conservação e Manutenção da Malha Viária da Cidade de São Paulo \n\n"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 6435497.92}]",,,,,092/SMSUB/COGEL/2023
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,24656,34577,2023,4,03/04/2023 00:00:00,6012202300050837,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,7421,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3022,Requalificação e Promoção da Ocupação dos Espaços Públicos,1137,Pavimentação e Recapeamento de Vias,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,1782543.89,354781.17,1427762.72,1427762.72,1427762.72,0.0,"[{""siglaUnidadeMedida"": ""UN"", ""descricaoAnexo"": ""Serviços de conservação e manutenção da malha viária da cidade de São Paulo"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 1782543.89}]",,,,,109/SMSUB/COGEL/2023
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,24656,34585,2023,4,03/04/2023 00:00:00,6012202300050845,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,7427,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3022,Requalificação e Promoção da Ocupação dos Espaços Públicos,1137,Pavimentação e Recapeamento de Vias,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,1465583.14,594464.82,871118.32,871118.32,871118.32,0.0,"[{""siglaUnidadeMedida"": ""UN"", ""descricaoAnexo"": ""serviços de conservação e manutenção da malha viária da cidade de São Paulo "", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 1465583.14}]",,,,,110/SMSUB/COGEL/2023
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,24656,34590,2023,4,03/04/2023 00:00:00,6012202300050314,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,7429,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3022,Requalificação e Promoção da Ocupação dos Espaços Públicos,1137,Pavimentação e Recapeamento de Vias,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,5258355.2,1618588.33,3639766.87,3639766.87,3639766.87,0.0,"[{""siglaUnidadeMedida"": ""1"", ""descricaoAnexo"": ""Serviços de conservação e manutenção de malha viária da cidade de São Paulo"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 5258355.2}]",,,,,93/SMSUB/COGEL/2023
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,24656,34599,2023,4,03/04/2023 00:00:00,6012202300050446,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,7433,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3022,Requalificação e Promoção da Ocupação dos Espaços Públicos,1137,Pavimentação e Recapeamento de Vias,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,3598073.27,478291.63,3119781.64,3119781.64,3119781.64,0.0,"[{""siglaUnidadeMedida"": ""UN"", ""descricaoAnexo"": ""TC 111/SMSUB/COGEL/2023 - Via Rua Agamenon Pereira da Silva - Trecho Estrada da M' Boi Mirim"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 3598073.27}]",,,,,111/SMSUB/COGEL/2023
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,24656,34604,2023,4,03/04/2023 00:00:00,6012202300050462,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,7434,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3022,Requalificação e Promoção da Ocupação dos Espaços Públicos,1137,Pavimentação e Recapeamento de Vias,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,4791385.75,1186345.14,3605040.61,3605040.61,3605040.61,0.0,"[{""siglaUnidadeMedida"": ""1"", ""descricaoAnexo"": ""Serviços de conservação e manutenção de malha viaria da cidade de São Paulo \n"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 4791385.75}]",,,,,095/SUMSUB/COGEL/23
01,PREFEITURA DO MUNICÍPIO DE SÃO PAULO,24656,34623,2023,4,03/04/2023 00:00:00,6012202300050390,62162847000120,JOFEGE PAVIMENTACAO E CONSTRUCAO LTDA,7438,2023,07,Fundo Municipal de Desenvolvimento Social,10,Fundo Municipal de Desenvolvimento Social,15,Urbanismo,452,Serviços Urbanos,3022,Requalificação e Promoção da Ocupação dos Espaços Públicos,1137,Pavimentação e Recapeamento de Vias,4,Despesas de Capital,4,Investimentos,90,Aplicações Diretas,39,Manutenção e Conservação de Bens Imóveis,08.2.759.1224,PMSP-SF/COADM-Fundo Municipal de Desenvolvimento Social-FMD,1,Manutenção e Reformas de Bens Imóveis,1,Outros Serviços de Terceiros - Pessoa Jurídica,4781548.6,2045484.55,2736064.05,2736064.05,2736064.05,0.0,"[{""siglaUnidadeMedida"": ""UN"", ""descricaoAnexo"": ""Serviços de conservação e manutenção da malha viária da cidade de São Paulo"", ""qtdeAnexo"": 1, ""valorUnitarioAnexo"": 4781548.6}]",,,,,094/SMSUB/COGEL/2023
