txtDescricaoModalidade,codEmpresa,codTipoContratacao,valReajustes,codProcesso,codModalidade,datVigencia,datAssinaturaContrato,valAditamentos,codContrato,valLiquidado,codOrgao,valPago,valAnulacao,valEmpenhadoLiquido,valTotalEmpenhado,anoContrato,numOriginalContrato,txtDescricaoOrgao,valAnuladoEmpenho,datPublicacaoContrato,valPrincipal,txtTipoContratacao,txtObjetoContrato,modifiedMode,usuarioOperacao
Não Aplicável,01,22,0.0,7610202300023825,8,31/05/2024 00:00:00,08/11/2023 00:00:00,0.0,8178,912320.99,07,912320.99,0.0,912320.99,913399.95,2024,CT 128/2023,Fundo Municipal de Desenvolvimento Social,1078.96,08/11/2023 00:00:00,1499947.47,Termo de Colaboração - Lei Federal 13.019/2014,"Prestação de serviços gerais de manutenção preventiva, corretiva, reparações, adaptações, requalificações e modificações de segundo escalão no Conjunto Habitacional UIRAPURU - BLOCO 10, localizado na Avenida Joaquim de Santana, 276, Jardim João XXIII, Subprefeitura Butantã, mediante utilização da ARP n.º 15/SIURB/2022 - Agrupamento 02, oriunda do Pregão Eletrônico n.º 12/SIURB/2021 (Processo SEI n.º 6022.2021/0001284-7)",5,
Não Aplicável,01,22,0.0,7610202200034060,8,29/06/2024 00:00:00,09/05/2023 00:00:00,706991.86,8183,529632.7,07,529632.7,0.0,529632.7,529632.7,2024,CT 32/2023,Fundo Municipal de Desenvolvimento Social,0.0,09/05/2023 00:00:00,3335599.51,Termo de Colaboração - Lei Federal 13.019/2014,"Execução de serviços e obras de Reforma, Requalificação e Adequação do espaço de lazer que inclui Campo de Futebol, denominado Campo do Boi Malhado, edificações de apoio e instalações, na área denominada N Sra da Penha, Bolsão II e III, localizado no C H N Sra da Penha, com desconto ofertado de 8,12 % sobre o valor estimado da presente licitação, resultando no valor total de R$ 3.335.599,51",5,
Não Aplicável,01,22,0.0,7610202300023914,8,31/05/2024 00:00:00,08/11/2023 00:00:00,0.0,8202,909858.21,07,909858.21,0.0,909858.21,911441.14,2024,CT 125/2023 ,Fundo Municipal de Desenvolvimento Social,1582.93,08/11/2023 00:00:00,1499998.16,Termo de Colaboração - Lei Federal 13.019/2014,"Prestação de serviços gerais de manutenção preventiva, corretiva, reparações, adaptações, requalificações e modificações de segundo escalão no Conjunto Habitacional UIRAPURU - BLOCOS 4, 5 e 6, localizado na Rua Frei Claude Alberville S/N, Jardim João XXIII, Subprefeitura Butantã, mediante utilização da ARP n.º 15/SIURB/2022 - Agrupamento 02, oriunda do Pregão Eletrônico n.º 12/SIURB/2021 (Processo SEI n.º 6022.2021/0001284-7)",5,
Não Aplicável,01,22,0.0,7610202300023833,8,31/05/2024 00:00:00,08/11/2023 00:00:00,0.0,8210,763254.99,07,763254.99,0.0,763254.99,763865.35,2024,CT 129/2023,Fundo Municipal de Desenvolvimento Social,610.36,08/11/2023 00:00:00,1233706.39,Termo de Colaboração - Lei Federal 13.019/2014,"Prestação de serviços gerais de manutenção preventiva, corretiva, reparações, adaptações, requalificações e modificações de segundo escalão no Conjunto Habitacional UIRAPURU - BLOCOS 12 e 13, localizado na Rua Frei Claude Alberville S/N, Jardim João XXIII, Subprefeitura Butantã, mediante utilização da ARP n.º 15/SIURB/2022 - Agrupamento 02, oriunda do Pregão Eletrônico n.º 12/SIURB/2021 (Processo SEI n.º 6022.2021/0001284-7)",5,
Não Aplicável,01,22,0.0,7610202300023817,8,31/05/2024 00:00:00,08/11/2023 00:00:00,0.0,8220,910767.97,07,910767.97,0.0,910767.97,913224.85,2024,CT 127/2023,Fundo Municipal de Desenvolvimento Social,2456.88,08/11/2023 00:00:00,1499923.51,Termo de Colaboração - Lei Federal 13.019/2014,"Prestação de serviços gerais de manutenção preventiva, corretiva, reparações, adaptações, requalificações e modificações de segundo escalão no Conjunto Habitacional UIRAPURU - BLOCO 8, localizado na Rua Frei Claude Alberville S/N, Jardim João XXIII, Subprefeitura Butantã, mediante utilização da ARP n.º 15/SIURB/2022 - Agrupamento 02, oriunda do Pregão Eletrônico n.º 12/SIURB/2021 (Processo SEI n.º 6022.2021/0001284-7)",5,
Não Aplicável,01,22,0.0,7610202300050717,8,07/06/2024 00:00:00,11/12/2023 00:00:00,0.0,8329,1374889.33,07,1374889.33,0.0,1374889.33,1375010.36,2024,CT 150/2023,Fundo Municipal de Desenvolvimento Social,121.03,11/12/2023 00:00:00,1499999.87,Termo de Colaboração - Lei Federal 13.019/2014,"Prestação de serviços gerais de manutenção preventiva, corretiva, reparações, adaptações, requalificações e modificações de segundo escalão no Conjunto Habitacional JARDIM DO LAGO - BLOCOS 9, 10, 11 e 12, localizado na Av. Antônio Ramiro da Silva, 475, Jardim do Lago, Subprefeitura Butantã",5,
Não Aplicável,01,22,0.0,7610202300023795,8,31/05/2024 00:00:00,08/11/2023 00:00:00,0.0,8333,912326.42,07,912326.42,0.0,912326.42,913359.39,2024,CT 126/2023,Fundo Municipal de Desenvolvimento Social,1032.97,08/11/2023 00:00:00,1499997.44,Termo de Colaboração - Lei Federal 13.019/2014,"Prestação de serviços gerais de manutenção preventiva, corretiva, reparações, adaptações, requalificações e modificações de segundo escalão no Conjunto Habitacional UIRAPURU - BLOCO 7, localizado na Rua Frei Claude Alberville S/N, Jardim João XXIII, Subprefeitura Butantã, mediante utilização da ARP n.º 15/SIURB/2022 - Agrupamento 02, oriunda do Pregão Eletrônico n.º 12/SIURB/2021 (Processo SEI n.º 6022.2021/0001284-7)",5,
Não Aplicável,01,22,0.0,7610202300023841,8,31/05/2024 00:00:00,08/11/2023 00:00:00,0.0,8338,909628.57,07,909628.57,0.0,909628.57,911861.72,2024,CT 124/2023,Fundo Municipal de Desenvolvimento Social,2233.15,08/11/2023 00:00:00,1499997.49,Termo de Colaboração - Lei Federal 13.019/2014,"Prestação de serviços gerais de manutenção preventiva, corretiva, reparações, adaptações, requalificações e modificações de segundo escalão no Conjunto Habitacional UIRAPURU - BLOCOS 1, 2 e 3, localizado na Rua Frei Claude Alberville S/N, Jardim João XXIII, Subprefeitura Butantã, mediante utilização da ARP n.º 15/SIURB/2022 - Agrupamento 02, oriunda do Pregão Eletrônico n.º 12/SIURB/2021 (Processo SEI n.º 6022.2021/0001284-7)",5,
Não Aplicável,01,22,0.0,7610202300041220,8,18/06/2024 00:00:00,26/10/2023 00:00:00,0.0,8351,880374.39,07,880374.39,0.0,880374.39,881994.3,2024,CT 119/2023,Fundo Municipal de Desenvolvimento Social,1619.91,26/10/2023 00:00:00,1499849.51,Termo de Colaboração - Lei Federal 13.019/2014,"Prestação de serviços gerais de manutenção preventiva, corretiva, reparações, adaptações, requalificações e modificações de segundo escalão no Conjunto Habitacional SÃO DOMINGOS CAMARAZAL 4 - BLOCOS 3, 4 e 5, localizado na Avenida Pujais Sabate, 574, Vila Nova Alba, Subprefeitura Butantã, mediante utilização da ARP n.º 15/SIURB/2022 - Agrupamento 02, oriunda do Pregão Eletrônico n.º 12/SIURB/2021 (Processo SEI n.º 6022.2021/0001284-7)",5,
Não Aplicável,01,22,0.0,7610202300041211,8,18/06/2024 00:00:00,26/10/2023 00:00:00,0.0,8354,904023.67,07,904023.67,0.0,904023.67,905070.48,2024,CT 118/2023,Fundo Municipal de Desenvolvimento Social,1046.81,26/10/2023 00:00:00,1498874.47,Termo de Colaboração - Lei Federal 13.019/2014,"Prestação de serviços gerais de manutenção preventiva, corretiva, reparações, adaptações, requalificações e modificações de segundo escalão no Conjunto Habitacional SÃO DOMINGOS CAMARAZAL 4 - BLOCOS 1 e 2, localizado na Rua Antonio Augusto Filho, 94, Vila Nova Alba, Subprefeitura Butantã, mediante utilização da ARP n.º 15/SIURB/2022 - Agrupamento 02, oriunda do Pregão Eletrônico n.º 12/SIURB/2021 (Processo SEI n.º 6022.2021/0001284-7)",5,
