valLiquidado,valPagoRestos,valSuplementado,valPagoExercicio,valCanceladoReserva,valDescongelado,valReservado,valEmpenhadoLiquido,valTotalEmpenhado,valReservadoLiquido,valAnuladoEmpenho,valDisponivel,valOrcadoInicial,valCongelado,valReduzido,valOrcadoAtualizado,modifiedMode,usuarioOperacao
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108985174.0,108985174.0,0.0,0.0,108985174.0,5,
710857.0,0.0,75327015.49,710857.0,42000000.0,0.0,96240987.53,18648688.93,19422367.29,54240987.53,773678.36,108985174.0,108985174.0,0.0,75327015.49,108985174.0,5,
37802698.89,0.0,316569664.05,3323213.89,62000000.0,0.0,173106338.44,98534791.87,112346437.77,111106338.44,13811645.9,298985174.0,108985174.0,0.0,126569664.05,298985174.0,5,
65146057.22,0.0,316569664.05,58615094.67,66527129.53,0.0,353844540.36,247534540.41,277250871.93,287317410.83,29716331.52,298985174.0,108985174.0,0.0,126569664.05,298985174.0,5,
89112010.57,0.0,316569664.05,83842310.74,68848205.96,0.0,362795112.38,272555171.08,305278218.4,293946906.42,32723047.32,298985174.0,108985174.0,0.0,126569664.05,298985174.0,5,
109456349.98,0.0,390569664.05,102613571.8,69608388.51,0.0,366286970.85,284711109.76,317996061.51,296678582.34,33284951.75,372985174.0,108985174.0,0.0,126569664.05,372985174.0,5,
139065234.1,0.0,390569664.05,127361438.37,71550351.75,0.0,439530052.84,307059868.14,342090828.95,367979701.09,35030960.81,372985174.0,108985174.0,0.0,126569664.05,372985174.0,5,
170364131.44,0.0,394325171.84,158618724.2,74575030.04,0.0,444168208.87,364131398.85,399162359.66,369593178.83,35030960.81,372985174.0,108985174.0,0.0,130325171.84,372985174.0,5,
209118945.32,0.0,394325171.84,197093202.43,74922359.43,0.0,444397802.4,363890593.77,399460854.29,369475442.97,35570260.52,372985174.0,108985174.0,0.0,130325171.84,372985174.0,5,
242156546.89,0.0,394575171.84,239454696.25,99165936.17,0.0,462334455.35,341310624.43,405189836.88,363168519.18,63879212.45,372985174.0,108985174.0,0.0,130575171.84,372985174.0,5,
265372425.06,0.0,394575171.84,260965107.4,115489742.55,0.0,485842650.35,358857423.8,428931798.03,370352907.8,70074374.23,372985174.0,108985174.0,0.0,130575171.84,372985174.0,5,
309578946.49,0.0,394575171.84,284472464.12,126408156.01,0.0,494594077.48,368185921.47,444555167.18,368185921.47,76369245.71,372985174.0,108985174.0,0.0,130575171.84,372985174.0,5,
