valLiquidado,valPagoRestos,valSuplementado,valPagoExercicio,valCanceladoReserva,valDescongelado,valReservado,valEmpenhadoLiquido,valTotalEmpenhado,valReservadoLiquido,valAnuladoEmpenho,valDisponivel,valOrcadoInicial,valCongelado,valReduzido,valOrcadoAtualizado,modifiedMode,usuarioOperacao
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,851556961.0,879612961.0,28056000.0,0.0,879612961.0,5,
0.0,0.0,0.0,0.0,15660120.32,0.0,23490180.48,0.0,0.0,7830060.16,0.0,851556961.0,879612961.0,28056000.0,0.0,879612961.0,5,
2910975.21,0.0,43842690.9,0.0,15660120.32,0.0,67332871.38,34108246.78,34108246.78,51672751.06,0.0,851556961.0,879612961.0,28056000.0,43842690.9,879612961.0,5,
44281805.92,0.0,81662672.21,15035192.78,15660120.32,0.0,94036965.69,70983321.85,72819751.38,78376845.37,1836429.53,851556961.0,879612961.0,28056000.0,81662672.21,879612961.0,5,
70852026.85,0.0,81662672.21,70294973.12,26776007.32,0.0,116268739.69,87066664.79,88903094.32,89492732.37,1836429.53,851556961.0,879612961.0,28056000.0,81662672.21,879612961.0,5,
80532571.68,0.0,81662672.21,79218408.35,26776007.32,0.0,116268739.69,87066664.79,88903094.32,89492732.37,1836429.53,851556961.0,879612961.0,28056000.0,81662672.21,879612961.0,5,
82580376.17,0.0,81662672.21,82580376.17,26776007.32,0.0,116268739.69,87066664.79,88903094.32,89492732.37,1836429.53,851556961.0,879612961.0,28056000.0,81662672.21,879612961.0,5,
84724771.24,0.0,81662672.21,84724771.24,26776007.32,0.0,116268739.69,87846578.4,89684689.78,89492732.37,1838111.38,851556961.0,879612961.0,28056000.0,81662672.21,879612961.0,5,
84724771.24,0.0,81662672.21,84724771.24,26776007.32,0.0,116268739.69,87846578.4,89684689.78,89492732.37,1838111.38,851556961.0,879612961.0,28056000.0,81662672.21,879612961.0,5,
84956802.79,0.0,81662672.21,84956802.79,26776007.32,0.0,116268739.69,88041781.89,89879893.27,89492732.37,1838111.38,851556961.0,879612961.0,28056000.0,81662672.21,879612961.0,5,
84956802.79,0.0,81662672.21,84956802.79,26776007.32,0.0,116268739.69,86828793.29,89879893.27,89492732.37,3051099.98,851556961.0,879612961.0,28056000.0,81662672.21,879612961.0,5,
87141720.86,0.0,81662672.21,87141720.86,28779101.16,0.0,116933715.66,88154614.5,91994110.79,88154614.5,3839496.29,851556961.0,879612961.0,28056000.0,81662672.21,879612961.0,5,
